language,cpId,qlId,esId,difficulty,taskKind,answerType,question,answer,explanation,validation
"en","PCT-CP-001","PCT-QL-001","PCT-ES-001","Easy","directPercentageDecrease","ABSOLUTE","The salary decreased by 12%. If the original salary was Rs. 40000, find the new salary.","$$35200$$","Decrease = 12%. So the remaining value is 88% of the original. | \[\Rightarrow 100\%-12\%=88\%\] | Now take 88% of the original salary. | \[\Rightarrow \text{New salary}=40000\times\frac{88}{100}=35200\] | So the new salary is Rs. 35200. | \[\Rightarrow \text{New salary}=35200\]","PASS"
"en","PCT-CP-002","PCT-QL-003","PCT-ES-002","Easy","decreaseAmount","ABSOLUTE","A salary of Rs. 30000 decreased by 15%. Find the decrease amount only.","$$4500$$","Only the reduced part is needed here. | \[\Rightarrow \text{Decrease amount}=15\%\text{ of }Rs. 30000\] | So find 15% of the original salary. | \[\Rightarrow \text{Decrease amount}=30000\times\frac{15}{100}=4500\] | So the decrease amount is Rs. 4500. | \[\Rightarrow \text{Decrease amount}=4500\]","PASS"
"en","PCT-CP-003","PCT-QL-005","PCT-ES-003","Medium","originalValueFromDecreasedValue","ABSOLUTE","After a 20% decrease, the value became 640. Find the original value.","$$800$$","After a decrease of 20%, the new value becomes 80% of the original. | \[\Rightarrow 80\%\rightarrow640\] | 80% can also be written as the fraction 4/5. | \[\Rightarrow 80\%=\frac{4}{5}\] | First find the value of 1% by dividing 640 by 80. | \[\Rightarrow 1\%=\frac{640}{80}=8\] | Now multiply the value of 1% by 100 to get the original value. | \[\Rightarrow 100\%=8\times100=800\] | So the original value was 800. | \[\Rightarrow \text{Original value}=800\]","PASS"
"en","PCT-CP-004","PCT-QL-007","PCT-ES-004","Easy","decreaseMultiplier","ABSOLUTE","Find the decrease multiplier for a 10% decrease in the salary.","$$0.9$$","A decrease of 10% leaves 90% of the original. | \[\Rightarrow 100\%-10\%=90\%\] | 90% can also be written as the fraction 9/10. | \[\Rightarrow 90\%=\frac{9}{10}\] | Write this remaining percentage as a multiplier. | \[\Rightarrow \text{Multiplier}=\frac{90}{100}=0.9\] | So the decrease multiplier is 0.9. | \[\Rightarrow \text{Multiplier}=0.9\]","PASS"
"en","PCT-CP-005","PCT-QL-009","PCT-ES-005","Medium","successiveDecrease","ABSOLUTE","A salary of Rs. 40000 first decreased by 10% and then by 15%. Find the final salary.","$$30600$$","After the first decrease of 10%, the salary becomes 90% of its original value. | \[\Rightarrow \text{After first decrease}=40000\times\frac{90}{100}=36000\] | Now decrease this new value by 15%. | \[\Rightarrow \text{Final value}=36000\times\frac{85}{100}=30600\] | So the salary after both decreases is Rs. 30600. | \[\Rightarrow \text{Final salary}=30600\]","PASS"
"en","PCT-CP-006","PCT-QL-011","PCT-ES-006","Medium","netPercentageDecrease","PERCENT","A price decreased first by 15% and then by 20%. Find the overall percentage decrease.","$$32\%$$","Convert both decreases into retained factors. | \[\Rightarrow \text{Combined factor}=\frac{85}{100}\times\frac{80}{100}\] | This combined factor shows what fraction of the original still remains. | \[\Rightarrow \text{Combined factor}=\frac{85}{100}\times\frac{80}{100}=0.68\] | So subtract the remaining fraction from 1 and convert it into percent. | \[\Rightarrow \text{Net decrease}=32\%\] | So the overall percentage decrease is 32%. | \[\Rightarrow \text{Net decrease}=32\%\]","PASS"
"en","PCT-CP-007","PCT-QL-013","PCT-ES-007","Hard","comparativeDecrease","ABSOLUTE","salary A was Rs. 30000 and decreased by 15%. salary B was Rs. 35000 and decreased by 15%. Find the difference between their new values.","$$4250$$","First find the new value of salary A after its decrease. | \[\Rightarrow \text{New salary A}=30000\times\frac{85}{100}=25500\] | Now find the new value of salary B after its decrease. | \[\Rightarrow \text{New salary B}=35000\times\frac{85}{100}=29750\] | Now compare the two new values. | \[\Rightarrow \text{Difference}=\left|25500-29750\right|=4250\] | So the difference between the new values is Rs. 4250. | \[\Rightarrow \text{Difference}=4250\]","PASS"
"en","PCT-CP-008","PCT-QL-015","PCT-ES-008","Hard","componentWiseDecrease","PERCENT","In a group of 500 students, 45% were boys and the rest were girls. If the number of boys decreased by 15% and the number of girls decreased by 20%, find the new percentage of boys.","$$46.5046\%$$","At first, 45% of the students are boys. So split the original total. | \[\Rightarrow \text{Initial boys}=500\times\frac{45}{100}=225,\ \text{Initial girls}=275\] | Now decrease the numbers of boys and girls by their respective percentages. | \[\Rightarrow \text{New boys}=225\times\frac{85}{100}=191.25,\ \text{New girls}=275\times\frac{80}{100}=220\] | Use the new total to find the updated percentage of boys. | \[\Rightarrow \text{New boys percent}=\frac{191.25}{411.25}\times100=46.5046\%\] | So the new percentage of boys is 46.5046%. | \[\Rightarrow \text{New boys percent}=46.5046\%\]","PASS"
"en","PCT-CP-009","PCT-QL-017","PCT-ES-009","Easy","requiredDecrease","PERCENT","The current salary is Rs. 60000 and it must become Rs. 45000. Find the required percentage decrease.","$$25\%$$","First find how much reduction is needed to reach the target. | \[\Rightarrow \text{Needed reduction}=60000-45000=15000\] | Now compare this reduction with the current salary. | \[\Rightarrow \text{Required decrease}=\frac{15000}{60000}\times100=25\%\] | So the required percentage decrease is 25%. | \[\Rightarrow \text{Required decrease}=25\%\]","PASS"
"en","PCT-CP-010","PCT-QL-019","PCT-ES-010","Medium","percentageDecreaseBridge","COUNT","An inventory of 1000 decreases by 15% every month. Find the inventory after 2 months.","$$722$$","Each decrease of 15% leaves 85% of the inventory. | \[\Rightarrow 100\%-15\%=85\%\] | Since the same decrease happens for 2 periods, use the retained factor 2 times. | \[\Rightarrow \text{Overall factor}=\left(\frac{85}{100}\right)^{2}\] | Now multiply the current inventory by this overall factor. | \[\Rightarrow \text{Final inventory}=1000\times\left(\frac{85}{100}\right)^{2}=722.5\] | So the inventory after 2 periods is 722.5. | \[\Rightarrow \text{Final inventory}=722\]","PASS"
