Question ID,CP,Difficulty,QL ID,Structure,Context,Answer Archetype,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation,Review Status,Reviewer Notes
PCT-CP-001:PCT-QL-001:PCT-004:en:0,PCT-CP-001,Easy,PCT-QL-001,Narrative,Money,Final value,"The salary decreased by 12%. If the original salary was Rs. 40000, find the new salary.",35200 + 1,-35200,35200,35200 - 1,C,Decrease = 12%. So the remaining value is 88% of the original. ? 100%-12%=88% Now take 88% of the original salary. ? New salary=40000?(88/100)=35200 So the new salary is Rs. 35200. ? New salary=35200,,
PCT-CP-002:PCT-QL-003:PCT-004:en:1,PCT-CP-002,Easy,PCT-QL-003,Direct,Money,Final value,A salary of Rs. 30000 decreased by 15%. Find the decrease amount only.,4500,-4500,4500 + 1,4500 - 1,A,Only the reduced part is needed here. ? Decrease amount=15% of Rs. 30000 So find 15% of the original salary. ? Decrease amount=30000?(15/100)=4500 So the decrease amount is Rs. 4500. ? Decrease amount=4500,,
PCT-CP-003:PCT-QL-005:PCT-004:en:2,PCT-CP-003,Medium,PCT-QL-005,Before/After,Abstract,Original/Recovery value,"After a 20% decrease, the value became 640. Find the original value.",800,-800,800 + 1,800 - 1,A,"After a decrease of 20%, the new value becomes 80% of the original. ? 80%?640 80% can also be written as the fraction 4/5. ? 80%=(4/5) First find the value of 1% by dividing 640 by 80. ? 1%=(640/80)=8 Now multiply the value of 1% by 100 to get the original value. ? 100%=8?100=800 So the original value was 800. ? Original value=800",,
PCT-CP-004:PCT-QL-007:PCT-004:en:3,PCT-CP-004,Easy,PCT-QL-007,Direct,Money,Multiplier,Find the decrease multiplier for a 10% decrease in the salary.,0.9,-0.9,0.9 + 1,0.9 - 1,A,A decrease of 10% leaves 90% of the original. ? 100%-10%=90% 90% can also be written as the fraction 9/10. ? 90%=(9/10) Write this remaining percentage as a multiplier. ? Multiplier=(90/100)=0.9 So the decrease multiplier is 0.9. ? Multiplier=0.9,,
PCT-CP-005:PCT-QL-009:PCT-004:en:4,PCT-CP-005,Medium,PCT-QL-009,Timeline,Money,Final value,A salary of Rs. 40000 first decreased by 10% and then by 15%. Find the final salary.,30600,-30600,30600 + 1,30600 - 1,A,"After the first decrease of 10%, the salary becomes 90% of its original value. ? After first decrease=40000?(90/100)=36000 Now decrease this new value by 15%. ? Final value=36000?(85/100)=30600 So the salary after both decreases is Rs. 30600. ? Final salary=30600",,
PCT-CP-006:PCT-QL-011:PCT-004:en:5,PCT-CP-006,Medium,PCT-QL-011,Timeline,Money,Percentage change,A price decreased first by 15% and then by 20%. Find the overall percentage decrease.,-32%,32% + 1,32% - 1,32%,D,Convert both decreases into retained factors. ? Combined factor=(85/100)?(80/100) This combined factor shows what fraction of the original still remains. ? Combined factor=(85/100)?(80/100)=0.68 So subtract the remaining fraction from 1 and convert it into percent. ? Net decrease=32% So the overall percentage decrease is 32%. ? Net decrease=32%,,
PCT-CP-007:PCT-QL-013:PCT-004:en:6,PCT-CP-007,Hard,PCT-QL-013,Direct,Money,Comparison,salary A was Rs. 30000 and decreased by 15%. salary B was Rs. 35000 and decreased by 15%. Find the difference between their new values.,-4250,4250 - 1,4250 + 1,4250,D,First find the new value of salary A after its decrease. ? New salary A=30000?(85/100)=25500 Now find the new value of salary B after its decrease. ? New salary B=35000?(85/100)=29750 Now compare the two new values. ? Difference=left|25500-29750right|=4250 So the difference between the new values is Rs. 4250. ? Difference=4250,,
PCT-CP-008:PCT-QL-015:PCT-004:en:7,PCT-CP-008,Hard,PCT-QL-015,Observation,Education,Percentage change,"In a group of 500 students, 45% were boys and the rest were girls. If the number of boys decreased by 15% and the number of girls decreased by 20%, find the new percentage of boys.",46.5046% + 1,46.5046% - 1,-46.5046%,46.5046%,D,"At first, 45% of the students are boys. So split the original total. ? Initial boys=500?(45/100)=225, Initial girls=275 Now decrease the numbers of boys and girls by their respective percentages. ? New boys=225?(85/100)=191.25, New girls=275?(80/100)=220 Use the new total to find the updated percentage of boys. ? New boys percent=(191.25/411.25)?100=46.5046% So the new percentage of boys is 46.5046%. ? New boys percent=46.5046%",,
PCT-CP-009:PCT-QL-017:PCT-004:en:8,PCT-CP-009,Easy,PCT-QL-017,Multi-statement,Money,Percentage change,The current salary is Rs. 60000 and it must become Rs. 45000. Find the required percentage decrease.,-25%,25% - 1,25% + 1,25%,D,First find how much reduction is needed to reach the target. ? Needed reduction=60000-45000=15000 Now compare this reduction with the current salary. ? Required decrease=(15000/60000)?100=25% So the required percentage decrease is 25%. ? Required decrease=25%,,
PCT-CP-010:PCT-QL-019:PCT-004:en:9,PCT-CP-010,Medium,PCT-QL-019,Before/After,Inventory,Count/Partition output,An inventory of 1000 decreases by 15% every month. Find the inventory after 2 months.,722 + 1,722 - 1,722,-722,C,"Each decrease of 15% leaves 85% of the inventory. ? 100%-15%=85% Since the same decrease happens for 2 periods, use the retained factor 2 times. ? Overall factor=left((85/100)right)^{2} Now multiply the current inventory by this overall factor. ? Final inventory=1000?left((85/100)right)^{2}=722.5 So the inventory after 2 periods is 722.5. ? Final inventory=722",,
PCT-CP-001:PCT-QL-002:PCT-004:en:10,PCT-CP-001,Easy,PCT-QL-002,Narrative,Population,Count/Partition output,"The population decreased by 20%. If the original population was 5000, find the new population.",4000,-4000,4000 + 1,4000 - 1,A,Decrease = 20%. So the remaining value is 80% of the original. ? 100%-20%=80% 80% can also be written as the fraction 4/5. ? 80%=(4/5) Now take 80% of the original population. ? New population=5000?(80/100)=4000 So the new population is 4000. ? New population=4000,,
PCT-CP-002:PCT-QL-004:PCT-004:en:11,PCT-CP-002,Easy,PCT-QL-004,Direct,Production,Count/Partition output,The production was 1200 and it decreased by 15%. Find the decrease count only.,180 + 1,180 - 1,180,-180,C,Only the reduced part is needed here. ? Decrease amount=15% of 1200 So find 15% of the original production. ? Decrease amount=1200?(15/100)=180 So the decrease amount is 180. ? Decrease amount=180,,
