Question ID,CP,Difficulty,QL ID,Structure,Context,Answer Archetype,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation,Review Status,Reviewer Notes
PCT-CP-001:PCT-QL-001:PCT-003:en:0,PCT-CP-001,Easy,PCT-QL-001,Narrative,Money,Final value,"The salary increased by 25%. If the original salary was Rs. 30000, find the new salary.",-37500,37500 - 1,37500,37500 + 1,C,An increase of 25% makes the salary equal to 125% of its original value. ? New percent=100%+25%=125% So multiply the original salary by 125/100. ? New salary=30000?(125/100)=37500 Therefore the new salary is Rs. 37500. ? New salary=37500,,
PCT-CP-002:PCT-QL-003:PCT-003:en:1,PCT-CP-002,Easy,PCT-QL-003,Direct,Money,Final value,A salary of Rs. 30000 increased by 15%. Find the increase amount only.,-4500,4500,4500 - 1,4500 + 1,B,"Only the increased part is required here, so we need 15% of the original salary. ? Increase amount=15% of Rs. 30000 Now take 15% of Rs. 30000. ? Increase amount=30000?(15/100)=4500 Therefore the increase amount is Rs. 4500. ? Increase amount=4500",,
PCT-CP-003:PCT-QL-005:PCT-003:en:2,PCT-CP-003,Medium,PCT-QL-005,Before/After,Money,Original/Recovery value,"After a 10% increase, the salary became Rs. 55000. Find the original salary.",-50000,50000 - 1,50000,50000 + 1,C,"After a 10% rise, the new salary represents 110% of the original. ? 110%?Rs. 55000 So divide Rs. 55000 by 110 to find the value of 1%. ? 1%=(55000/110)=500 Now multiply the value of 1% by 100 to get the original salary. ? 100%=500?100=50000 Therefore the original salary was Rs. 50000. ? Original salary=50000",,
PCT-CP-004:PCT-QL-007:PCT-003:en:3,PCT-CP-004,Easy,PCT-QL-007,Direct,Money,Multiplier,Find the equivalent multiplier for a 25% increase in the salary.,1.25 - 1,1.25,-1.25,1.25 + 1,B,A 25% increase means the new value becomes 125% of the old value. ? New percent=100%+25%=125% Express that new percentage as a multiplier by dividing by 100. ? Multiplier=(125/100)=1.25 Therefore the equivalent multiplier is 1.25. ? Multiplier=1.25,,
PCT-CP-005:PCT-QL-009:PCT-003:en:4,PCT-CP-005,Medium,PCT-QL-009,Timeline,Money,Final value,A salary of Rs. 30000 first increased by 10% and then by 20%. Find the final salary.,39600 - 1,39600,-39600,39600 + 1,B,"After the first increase of 10%, the salary becomes 110% of its original value. ? After first increase=30000?(110/100)=33000 Now apply the second increase of 20% to this new value. ? Final value=33000?(120/100)=39600 Therefore the salary after both increases is Rs. 39600. ? Final salary=39600",,
PCT-CP-006:PCT-QL-011:PCT-003:en:5,PCT-CP-006,Medium,PCT-QL-011,Timeline,Money,Percentage change,A price increased first by 15% and then by 25%. Find the overall percentage increase.,43.75%,43.75% - 1,43.75% + 1,-43.75%,A,Convert the two increases into growth factors. ? Combined factor=(115/100)?(125/100) This combined factor tells us how many times the original value becomes after both increases. ? Combined factor=(115/100)?(125/100)=1.4375 So subtract 1 from the combined factor and convert the result into a percentage increase. ? Net increase=43.75% Therefore the overall percentage increase is 43.75%. ? Net increase=43.75%,,
PCT-CP-007:PCT-QL-013:PCT-003:en:6,PCT-CP-007,Hard,PCT-QL-013,Direct,Money,Comparison,salary A was Rs. 30000 and increased by 10%. salary B was Rs. 35000 and increased by 10%. Find the difference between their new values.,5500 + 1,5500 - 1,5500,-5500,C,First find the new value of salary A after its increase. ? New salary A=30000?(110/100)=33000 Now find the new value of salary B after its increase. ? New salary B=35000?(110/100)=38500 Finally compare these two new values. ? Difference=left|33000-38500right|=5500 Therefore the difference between the new values is Rs. 5500. ? Difference=5500,,
PCT-CP-008:PCT-QL-015:PCT-003:en:7,PCT-CP-008,Hard,PCT-QL-015,Observation,Education,Percentage change,"In a group of 400 students, 40% were boys and the rest were girls. If the number of boys increased by 10% and the number of girls increased by 15%, find the new percentage of boys.",38.9381%,38.9381% + 1,38.9381% - 1,-38.9381%,A,"At first, 40% of the students are boys, so split the original total into boys and girls. ? Initial boys=400?(40/100)=160, Initial girls=240 Now increase the number of boys and girls by their respective percentages. ? New boys=160?(110/100)=176, New girls=240?(115/100)=276 Use the new total to find the updated percentage of boys. ? New boys percent=(176/452)?100=38.9381% Therefore the new percentage of boys is 38.9381%. ? New boys percent=38.9381%",,
PCT-CP-009:PCT-QL-017:PCT-003:en:8,PCT-CP-009,Easy,PCT-QL-017,Multi-statement,Money,Percentage change,The current salary is Rs. 48000 and it must become Rs. 60000. Find the required percentage increase.,25%,25% + 1,25% - 1,-25%,A,First find how much extra salary is needed to reach the target. ? Needed amount=60000-48000=12000 Now compare this extra amount with the current salary. ? Required increase=(12000/48000)?100=25% Therefore the required percentage increase is 25%. ? Required increase=25%,,
PCT-CP-010:PCT-QL-019:PCT-003:en:9,PCT-CP-010,Medium,PCT-QL-019,Before/After,Population,Count/Partition output,A population of 12000 grows by 15% every year. Find the population after 2 years.,15870 + 1,15870 - 1,-15870,15870,D,"Each increase of 15% multiplies the population by 115/100. ? One-period factor=(115/100) Since the same increase happens for 2 periods, use this factor 2 times. ? Overall factor=left((115/100)right)^{2} Now multiply the current population by the overall factor. ? Final population=12000?left((115/100)right)^{2}=15870 Therefore the population after 2 periods is 15870. ? Final population=15870",,
PCT-CP-001:PCT-QL-002:PCT-003:en:10,PCT-CP-001,Easy,PCT-QL-002,Narrative,Population,Count/Partition output,"The population increased by 25%. If the original population was 12000, find the new population.",-15000,15000 - 1,15000 + 1,15000,D,An increase of 25% makes the population equal to 125% of its original value. ? New percent=100%+25%=125% So multiply the original population by 125/100. ? New population=12000?(125/100)=15000 Therefore the new population is 15000. ? New population=15000,,
PCT-CP-002:PCT-QL-004:PCT-003:en:11,PCT-CP-002,Easy,PCT-QL-004,Direct,Production,Count/Partition output,The production was 600 and it increased by 20%. Find the increase count only.,120 - 1,120,-120,120 + 1,B,"Only the increased part is required here, so we need 20% of the original production. ? Increase amount=20% of 600 Now take 20% of 600. ? Increase amount=600?(20/100)=120 Therefore the increase amount is 120. ? Increase amount=120",,
PCT-CP-003:PCT-QL-006:PCT-003:en:12,PCT-CP-003,Medium,PCT-QL-006,Before/After,Population,Original/Recovery value,"After a 15% increase, the population became 9200. Find the original population.",-8000,8000 - 1,8000 + 1,8000,D,"After a 15% rise, the new population represents 115% of the original. ? 115%?9200 So divide 9200 by 115 to find the value of 1%. ? 1%=(9200/115)=80 Now multiply the value of 1% by 100 to get the original population. ? 100%=80?100=8000 Therefore the original population was 8000. ? Original population=8000",,
PCT-CP-004:PCT-QL-008:PCT-003:en:13,PCT-CP-004,Easy,PCT-QL-008,Direct,Population,Multiplier,A population increases by 12%. What multiplier represents this increase?,1.12 - 1,1.12,-1.12,1.12 + 1,B,A 12% increase means the new value becomes 112% of the old value. ? New percent=100%+12%=112% Express that new percentage as a multiplier by dividing by 100. ? Multiplier=(112/100)=1.12 Therefore the equivalent multiplier is 1.12. ? Multiplier=1.12,,
PCT-CP-005:PCT-QL-010:PCT-003:en:14,PCT-CP-005,Medium,PCT-QL-010,Timeline,Population,Count/Partition output,The population was 10000. It increased by 20% and then by 10%. Find the new population.,13200 + 1,13200 - 1,13200,-13200,C,"After the first increase of 20%, the population becomes 120% of its original value. ? After first increase=10000?(120/100)=12000 Now apply the second increase of 10% to this new value. ? Final value=12000?(110/100)=13200 Therefore the population after both increases is 13200. ? Final population=13200",,
