language,cpId,qlId,esId,difficulty,taskKind,answerType,question,answer,explanation,validation
"hi","PCT-CP-001","PCT-QL-001","PCT-ES-001","Easy","directPercentageIncrease","ABSOLUTE","The salary increased by 20%. If the original salary was Rs. 20000, find the new salary.","$$24000$$","An increase of 20% makes the salary equal to 120% of its original value. | \[\Rightarrow \text{New percent}=100\%+20\%=120\%\] | So multiply the original salary by 120/100. | \[\Rightarrow \text{New salary}=20000\times\frac{120}{100}=24000\] | Therefore the new salary is Rs. 24000. | \[\Rightarrow \text{New salary}=24000\]","PASS"
"hi","PCT-CP-002","PCT-QL-003","PCT-ES-002","Easy","increaseAmount","ABSOLUTE","A salary of Rs. 30000 increased by 15%. Find the increase amount only.","$$4500$$","Only the increased part is required here, so we need 15% of the original salary. | \[\Rightarrow \text{Increase amount}=15\%\text{ of }Rs. 30000\] | Now take 15% of Rs. 30000. | \[\Rightarrow \text{Increase amount}=30000\times\frac{15}{100}=4500\] | Therefore the increase amount is Rs. 4500. | \[\Rightarrow \text{Increase amount}=4500\]","PASS"
"hi","PCT-CP-003","PCT-QL-005","PCT-ES-003","Medium","originalValueFromIncreasedValue","ABSOLUTE","After a 10% increase, the salary became Rs. 55000. Find the original salary.","$$50000$$","After a 10% rise, the new salary represents 110% of the original. | \[\Rightarrow 110\%\rightarrowRs. 55000\] | So divide Rs. 55000 by 110 to find the value of 1%. | \[\Rightarrow 1\%=\frac{55000}{110}=500\] | Now multiply the value of 1% by 100 to get the original salary. | \[\Rightarrow 100\%=500\times100=50000\] | Therefore the original salary was Rs. 50000. | \[\Rightarrow \text{Original salary}=50000\]","PASS"
"hi","PCT-CP-004","PCT-QL-007","PCT-ES-004","Easy","equivalentMultiplier","ABSOLUTE","Find the equivalent multiplier for a 25% increase in the salary.","$$1.25$$","A 25% increase means the new value becomes 125% of the old value. | \[\Rightarrow \text{New percent}=100\%+25\%=125\%\] | Express that new percentage as a multiplier by dividing by 100. | \[\Rightarrow \text{Multiplier}=\frac{125}{100}=1.25\] | Therefore the equivalent multiplier is 1.25. | \[\Rightarrow \text{Multiplier}=1.25\]","PASS"
"hi","PCT-CP-005","PCT-QL-009","PCT-ES-005","Medium","repeatedPercentageIncrease","ABSOLUTE","A salary of Rs. 30000 first increased by 15% and then by 25%. Find the final salary.","$$43125$$","After the first increase of 15%, the salary becomes 115% of its original value. | \[\Rightarrow \text{After first increase}=30000\times\frac{115}{100}=34500\] | Now apply the second increase of 25% to this new value. | \[\Rightarrow \text{Final value}=34500\times\frac{125}{100}=43125\] | Therefore the salary after both increases is Rs. 43125. | \[\Rightarrow \text{Final salary}=43125\]","PASS"
"hi","PCT-CP-006","PCT-QL-011","PCT-ES-006","Medium","netIncreasePercentage","PERCENT","A price increased first by 20% and then by 25%. Find the overall percentage increase.","$$50\%$$","Convert the two increases into growth factors. | \[\Rightarrow \text{Combined factor}=\frac{120}{100}\times\frac{125}{100}\] | This combined factor tells us how many times the original value becomes after both increases. | \[\Rightarrow \text{Combined factor}=\frac{120}{100}\times\frac{125}{100}=1.5\] | So subtract 1 from the combined factor and convert the result into a percentage increase. | \[\Rightarrow \text{Net increase}=50\%\] | Therefore the overall percentage increase is 50%. | \[\Rightarrow \text{Net increase}=50\%\]","PASS"
"hi","PCT-CP-007","PCT-QL-013","PCT-ES-007","Hard","comparativeIncrease","ABSOLUTE","salary A was Rs. 50000 and increased by 15%. salary B was Rs. 25000 and increased by 10%. Find the difference between their new values.","$$30000$$","First find the new value of salary A after its increase. | \[\Rightarrow \text{New salary A}=50000\times\frac{115}{100}=57500\] | Now find the new value of salary B after its increase. | \[\Rightarrow \text{New salary B}=25000\times\frac{110}{100}=27500\] | Finally compare these two new values. | \[\Rightarrow \text{Difference}=\left|57500-27500\right|=30000\] | Therefore the difference between the new values is Rs. 30000. | \[\Rightarrow \text{Difference}=30000\]","PASS"
"hi","PCT-CP-008","PCT-QL-015","PCT-ES-008","Hard","percentageIncreaseInParts","PERCENT","In a group of 400 students, 40% were boys and the rest were girls. If the number of boys increased by 10% and the number of girls increased by 15%, find the new percentage of boys.","$$38.9381\%$$","At first, 40% of the students are boys, so split the original total into boys and girls. | \[\Rightarrow \text{Initial boys}=400\times\frac{40}{100}=160,\ \text{Initial girls}=240\] | Now increase the number of boys and girls by their respective percentages. | \[\Rightarrow \text{New boys}=160\times\frac{110}{100}=176,\ \text{New girls}=240\times\frac{115}{100}=276\] | Use the new total to find the updated percentage of boys. | \[\Rightarrow \text{New boys percent}=\frac{176}{452}\times100=38.9381\%\] | Therefore the new percentage of boys is 38.9381%. | \[\Rightarrow \text{New boys percent}=38.9381\%\]","PASS"
"hi","PCT-CP-009","PCT-QL-017","PCT-ES-009","Easy","requiredIncrease","PERCENT","The current salary is Rs. 48000 and it must become Rs. 60000. Find the required percentage increase.","$$25\%$$","First find how much extra salary is needed to reach the target. | \[\Rightarrow \text{Needed amount}=60000-48000=12000\] | Now compare this extra amount with the current salary. | \[\Rightarrow \text{Required increase}=\frac{12000}{48000}\times100=25\%\] | Therefore the required percentage increase is 25%. | \[\Rightarrow \text{Required increase}=25\%\]","PASS"
"hi","PCT-CP-010","PCT-QL-019","PCT-ES-010","Medium","growthBridge","COUNT","A population of 12000 grows by 15% every year. Find the population after 2 years.","$$15870$$","Each increase of 15% multiplies the population by 115/100. | \[\Rightarrow \text{One-period factor}=\frac{115}{100}\] | Since the same increase happens for 2 periods, use this factor 2 times. | \[\Rightarrow \text{Overall factor}=\left(\frac{115}{100}\right)^{2}\] | Now multiply the current population by the overall factor. | \[\Rightarrow \text{Final population}=12000\times\left(\frac{115}{100}\right)^{2}=15870\] | Therefore the population after 2 periods is 15870. | \[\Rightarrow \text{Final population}=15870\]","PASS"
