language,cpId,qlId,esId,difficulty,taskKind,answerType,question,answer,explanation,validation
"en","PCT-CP-001","PCT-QL-001","PCT-ES-001","Easy","successiveIncrease","ABSOLUTE","A value increased by 20% and then by 10%. If the original value was 5000, find the final value.","$$6600$$","For first stage, increase = 20%. So the new value becomes 120% of the previous value. | \[\Rightarrow 100\%+20\%=120\%\] | So the multiplier for first stage is 120/100. | \[\Rightarrow \text{first stage multiplier}=\frac{120}{100}=1.2\] | Apply the first-stage multiplier to the original value. | \[\Rightarrow \text{After first stage}=5000\times1.2=6000\] | For second stage, increase = 10%. So the new value becomes 110% of the previous value. | \[\Rightarrow 100\%+10\%=110\%\] | So the multiplier for second stage is 110/100. | \[\Rightarrow \text{second stage multiplier}=\frac{110}{100}=1.1\] | Now multiply by both stage multipliers to get the final value. | \[\Rightarrow \text{Final value}=5000\times1.2\times1.1=6600\] | So the final value is 6600. | \[\Rightarrow \text{Final value}=6600\]","PASS"
"en","PCT-CP-002","PCT-QL-003","PCT-ES-002","Easy","successiveDecrease","COUNT","A population decreased by 15% and then by 15%. If the original population was 8000, find the final population.","$$5780$$","For first stage, decrease = 15%. So the new value becomes 85% of the previous value. | \[\Rightarrow 100\%-15\%=85\%\] | So the multiplier for first stage is 85/100. | \[\Rightarrow \text{first stage multiplier}=\frac{85}{100}=0.85\] | Apply the first-stage multiplier to the original population. | \[\Rightarrow \text{After first stage}=8000\times0.85=6800\] | For second stage, decrease = 15%. So the new value becomes 85% of the previous value. | \[\Rightarrow 100\%-15\%=85\%\] | So the multiplier for second stage is 85/100. | \[\Rightarrow \text{second stage multiplier}=\frac{85}{100}=0.85\] | Now multiply by both stage multipliers to get the final population. | \[\Rightarrow \text{Final population}=8000\times0.85\times0.85=5780\] | So the final population is 5780. | \[\Rightarrow \text{Final population}=5780\]","PASS"
"en","PCT-CP-003","PCT-QL-005","PCT-ES-003","Medium","increaseThenDecrease","ABSOLUTE","A value increased by 20% and then decreased by 25%. If the original value was 1000, find the final value.","$$900$$","For first stage, increase = 20%. So the new value becomes 120% of the previous value. | \[\Rightarrow 100\%+20\%=120\%\] | So the multiplier for first stage is 120/100. | \[\Rightarrow \text{first stage multiplier}=\frac{120}{100}=1.2\] | Apply the first-stage multiplier to the original value. | \[\Rightarrow \text{After first stage}=1000\times1.2=1200\] | For second stage, decrease = 25%. So the new value becomes 75% of the previous value. | \[\Rightarrow 100\%-25\%=75\%\] | 75% can also be written as the fraction 3/4. | \[\Rightarrow 75\%=\frac{3}{4}\] | So the multiplier for second stage is 75/100. | \[\Rightarrow \text{second stage multiplier}=\frac{75}{100}=0.75\] | Now multiply by both stage multipliers to get the final value. | \[\Rightarrow \text{Final value}=1000\times1.2\times0.75=900\] | So the final value is 900. | \[\Rightarrow \text{Final value}=900\]","PASS"
"en","PCT-CP-004","PCT-QL-007","PCT-ES-004","Medium","decreaseThenIncrease","ABSOLUTE","A value decreased by 25% and then increased by 10%. If the original value was 2000, find the final value.","$$1650$$","For first stage, decrease = 25%. So the new value becomes 75% of the previous value. | \[\Rightarrow 100\%-25\%=75\%\] | 75% can also be written as the fraction 3/4. | \[\Rightarrow 75\%=\frac{3}{4}\] | So the multiplier for first stage is 75/100. | \[\Rightarrow \text{first stage multiplier}=\frac{75}{100}=0.75\] | Apply the first-stage multiplier to the original value. | \[\Rightarrow \text{After first stage}=2000\times0.75=1500\] | For second stage, increase = 10%. So the new value becomes 110% of the previous value. | \[\Rightarrow 100\%+10\%=110\%\] | So the multiplier for second stage is 110/100. | \[\Rightarrow \text{second stage multiplier}=\frac{110}{100}=1.1\] | Now multiply by both stage multipliers to get the final value. | \[\Rightarrow \text{Final value}=2000\times0.75\times1.1=1650\] | So the final value is 1650. | \[\Rightarrow \text{Final value}=1650\]","PASS"
"en","PCT-CP-005","PCT-QL-009","PCT-ES-005","Easy","netPercentageChange","PERCENT","A value increased by 20% and then by 10%. Find the net percentage change.","$$32\%$$","For first stage, increase = 20%. So the new value becomes 120% of the previous value. | \[\Rightarrow 100\%+20\%=120\%\] | So the multiplier for first stage is 120/100. | \[\Rightarrow \text{first stage multiplier}=\frac{120}{100}=1.2\] | For second stage, increase = 10%. So the new value becomes 110% of the previous value. | \[\Rightarrow 100\%+10\%=110\%\] | So the multiplier for second stage is 110/100. | \[\Rightarrow \text{second stage multiplier}=\frac{110}{100}=1.1\] | Multiply the two stage multipliers to get the overall multiplier. | \[\Rightarrow \text{Overall multiplier}=1.2\times1.1=1.32\] | Now compare this overall multiplier with 1 to find the net percentage change. | \[\Rightarrow \text{Net change}=\left(1.32-1\right)\times100=32\%\] | Overall change = increase of 32%. | \[\Rightarrow \text{Net percentage change}=32\%\]","PASS"
"en","PCT-CP-006","PCT-QL-011","PCT-ES-006","Medium","equivalentSingleMultiplier","ABSOLUTE","Find the equivalent single multiplier for a value that first changes by +25% and then by +20%.","$$1.5$$","For first stage, increase = 25%. So the new value becomes 125% of the previous value. | \[\Rightarrow 100\%+25\%=125\%\] | So the multiplier for first stage is 125/100. | \[\Rightarrow \text{first stage multiplier}=\frac{125}{100}=1.25\] | For second stage, increase = 20%. So the new value becomes 120% of the previous value. | \[\Rightarrow 100\%+20\%=120\%\] | So the multiplier for second stage is 120/100. | \[\Rightarrow \text{second stage multiplier}=\frac{120}{100}=1.2\] | Multiply the stage multipliers to get one equivalent multiplier. | \[\Rightarrow \text{Equivalent multiplier}=1.25\times1.2=1.5\] | So the single equivalent multiplier is 1.5. | \[\Rightarrow \text{Equivalent multiplier}=1.5\]","PASS"
"en","PCT-CP-007","PCT-QL-013","PCT-ES-007","Medium","reverseSuccessiveChange","ABSOLUTE","After successive changes of +25% and +10%, the final value became 618.75. Find the original value.","$$450$$","For first stage, increase = 25%. So the new value becomes 125% of the previous value. | \[\Rightarrow 100\%+25\%=125\%\] | So the multiplier for first stage is 125/100. | \[\Rightarrow \text{first stage multiplier}=\frac{125}{100}=1.25\] | For second stage, increase = 10%. So the new value becomes 110% of the previous value. | \[\Rightarrow 100\%+10\%=110\%\] | So the multiplier for second stage is 110/100. | \[\Rightarrow \text{second stage multiplier}=\frac{110}{100}=1.1\] | Multiply the stage multipliers to get the overall multiplier. | \[\Rightarrow \text{Overall multiplier}=1.25\times1.1=1.375\] | The final value is already known. So divide it by the overall multiplier to get the original value. | \[\Rightarrow \text{Original value}=\frac{618.75}{1.375}=450\] | So the original value was 450. | \[\Rightarrow \text{Original value}=450\]","PASS"
"en","PCT-CP-008","PCT-QL-015","PCT-ES-008","Hard","comparativeSuccessiveChange","ABSOLUTE","A was 5000 and changed by +10% and +20%. B was 1000 and changed by +12% and +20%. Find the difference between their final values.","$$5256$$","For A first stage, increase = 10%. So the new value becomes 110% of the previous value. | \[\Rightarrow 100\%+10\%=110\%\] | So the multiplier for A first stage is 110/100. | \[\Rightarrow \text{A first stage multiplier}=\frac{110}{100}=1.1\] | For A second stage, increase = 20%. So the new value becomes 120% of the previous value. | \[\Rightarrow 100\%+20\%=120\%\] | So the multiplier for A second stage is 120/100. | \[\Rightarrow \text{A second stage multiplier}=\frac{120}{100}=1.2\] | So the final value of A is found by applying its combined multiplier. | \[\Rightarrow \text{Final A}=5000\times1.32=6600\] | For B first stage, increase = 12%. So the new value becomes 112% of the previous value. | \[\Rightarrow 100\%+12\%=112\%\] | So the multiplier for B first stage is 112/100. | \[\Rightarrow \text{B first stage multiplier}=\frac{112}{100}=1.12\] | For B second stage, increase = 20%. So the new value becomes 120% of the previous value. | \[\Rightarrow 100\%+20\%=120\%\] | So the multiplier for B second stage is 120/100. | \[\Rightarrow \text{B second stage multiplier}=\frac{120}{100}=1.2\] | So the final value of B is found by applying its combined multiplier. | \[\Rightarrow \text{Final B}=1000\times1.344=1344\] | Now compare the two final values. | \[\Rightarrow \text{Difference}=\left|6600-1344\right|=5256\] | So the difference between the final values is 5256. | \[\Rightarrow \text{Difference}=5256\]","PASS"
"en","PCT-CP-009","PCT-QL-017","PCT-ES-009","Hard","multiStageSuccessiveChange","ABSOLUTE","A value of 2000 changed successively by +10%, +15%, and -10%. Find the final value.","$$2277$$","For stage 1, increase = 10%. So the new value becomes 110% of the previous value. | \[\Rightarrow 100\%+10\%=110\%\] | So the multiplier for stage 1 is 110/100. | \[\Rightarrow \text{stage 1 multiplier}=\frac{110}{100}=1.1\] | For stage 2, increase = 15%. So the new value becomes 115% of the previous value. | \[\Rightarrow 100\%+15\%=115\%\] | So the multiplier for stage 2 is 115/100. | \[\Rightarrow \text{stage 2 multiplier}=\frac{115}{100}=1.15\] | For stage 3, decrease = 10%. So the new value becomes 90% of the previous value. | \[\Rightarrow 100\%-10\%=90\%\] | 90% can also be written as the fraction 9/10. | \[\Rightarrow 90\%=\frac{9}{10}\] | So the multiplier for stage 3 is 90/100. | \[\Rightarrow \text{stage 3 multiplier}=\frac{90}{100}=0.9\] | Multiply all the stage multipliers to get one overall multiplier. | \[\Rightarrow \text{Overall multiplier}=1.1\times1.15\times0.9=1.1385\] | Now multiply the original value by the overall multiplier. | \[\Rightarrow \text{Final value}=2000\times1.1\times1.15\times0.9=2277\] | So the final value is 2277. | \[\Rightarrow \text{Final value}=2277\]","PASS"
"en","PCT-CP-010","PCT-QL-019","PCT-ES-010","Hard","contextualSuccessiveChange","COUNT","A population of 5000 first increased by 10%, then decreased by 10%, and then increased by 10%. Find the final population.","$$5445$$","For stage 1, increase = 10%. So the new value becomes 110% of the previous value. | \[\Rightarrow 100\%+10\%=110\%\] | So the multiplier for stage 1 is 110/100. | \[\Rightarrow \text{stage 1 multiplier}=\frac{110}{100}=1.1\] | For stage 2, decrease = 10%. So the new value becomes 90% of the previous value. | \[\Rightarrow 100\%-10\%=90\%\] | 90% can also be written as the fraction 9/10. | \[\Rightarrow 90\%=\frac{9}{10}\] | So the multiplier for stage 2 is 90/100. | \[\Rightarrow \text{stage 2 multiplier}=\frac{90}{100}=0.9\] | For stage 3, increase = 10%. So the new value becomes 110% of the previous value. | \[\Rightarrow 100\%+10\%=110\%\] | So the multiplier for stage 3 is 110/100. | \[\Rightarrow \text{stage 3 multiplier}=\frac{110}{100}=1.1\] | Multiply all the stage multipliers to get one overall multiplier. | \[\Rightarrow \text{Overall multiplier}=1.1\times0.9\times1.1=1.089\] | Now multiply the original population by the overall multiplier. | \[\Rightarrow \text{Final population}=5000\times1.1\times0.9\times1.1=5445\] | So the final population is 5445. | \[\Rightarrow \text{Final population}=5445\]","PASS"
