Question ID,CP,Difficulty,QL ID,Structure,Context,Answer Archetype,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation,Review Status,Reviewer Notes
PCT-CP-001:PCT-QL-001:PCT-005:en:0,PCT-CP-001,Easy,PCT-QL-001,Timeline,Abstract,Final value,"A value increased by 20% and then by 10%. If the original value was 5000, find the final value.",-6600,6600 + 1,6600 - 1,6600,D,"For first stage, increase = 20%. So the new value becomes 120% of the previous value. ? 100%+20%=120% So the multiplier for first stage is 120/100. ? first stage multiplier=(120/100)=1.2 Apply the first-stage multiplier to the original value. ? After first stage=5000?1.2=6000 For second stage, increase = 10%. So the new value becomes 110% of the previous value. ? 100%+10%=110% So the multiplier for second stage is 110/100. ? second stage multiplier=(110/100)=1.1 Now multiply by both stage multipliers to get the final value. ? Final value=5000?1.2?1.1=6600 So the final value is 6600. ? Final value=6600",,
PCT-CP-002:PCT-QL-003:PCT-005:en:1,PCT-CP-002,Easy,PCT-QL-003,Timeline,Population,Count/Partition output,"A population decreased by 15% and then by 15%. If the original population was 8000, find the final population.",-5780,5780 + 1,5780 - 1,5780,D,"For first stage, decrease = 15%. So the new value becomes 85% of the previous value. ? 100%-15%=85% So the multiplier for first stage is 85/100. ? first stage multiplier=(85/100)=0.85 Apply the first-stage multiplier to the original population. ? After first stage=8000?0.85=6800 For second stage, decrease = 15%. So the new value becomes 85% of the previous value. ? 100%-15%=85% So the multiplier for second stage is 85/100. ? second stage multiplier=(85/100)=0.85 Now multiply by both stage multipliers to get the final population. ? Final population=8000?0.85?0.85=5780 So the final population is 5780. ? Final population=5780",,
PCT-CP-003:PCT-QL-005:PCT-005:en:2,PCT-CP-003,Medium,PCT-QL-005,Timeline,Abstract,Final value,"A value increased by 20% and then decreased by 25%. If the original value was 1000, find the final value.",-900,900 - 1,900 + 1,900,D,"For first stage, increase = 20%. So the new value becomes 120% of the previous value. ? 100%+20%=120% So the multiplier for first stage is 120/100. ? first stage multiplier=(120/100)=1.2 Apply the first-stage multiplier to the original value. ? After first stage=1000?1.2=1200 For second stage, decrease = 25%. So the new value becomes 75% of the previous value. ? 100%-25%=75% 75% can also be written as the fraction 3/4. ? 75%=(3/4) So the multiplier for second stage is 75/100. ? second stage multiplier=(75/100)=0.75 Now multiply by both stage multipliers to get the final value. ? Final value=1000?1.2?0.75=900 So the final value is 900. ? Final value=900",,
PCT-CP-004:PCT-QL-007:PCT-005:en:3,PCT-CP-004,Medium,PCT-QL-007,Timeline,Abstract,Final value,"A value decreased by 25% and then increased by 10%. If the original value was 2000, find the final value.",1650 + 1,1650 - 1,-1650,1650,D,"For first stage, decrease = 25%. So the new value becomes 75% of the previous value. ? 100%-25%=75% 75% can also be written as the fraction 3/4. ? 75%=(3/4) So the multiplier for first stage is 75/100. ? first stage multiplier=(75/100)=0.75 Apply the first-stage multiplier to the original value. ? After first stage=2000?0.75=1500 For second stage, increase = 10%. So the new value becomes 110% of the previous value. ? 100%+10%=110% So the multiplier for second stage is 110/100. ? second stage multiplier=(110/100)=1.1 Now multiply by both stage multipliers to get the final value. ? Final value=2000?0.75?1.1=1650 So the final value is 1650. ? Final value=1650",,
PCT-CP-005:PCT-QL-009:PCT-005:en:4,PCT-CP-005,Easy,PCT-QL-009,Timeline,Abstract,Percentage change,A value increased by 20% and then by 10%. Find the net percentage change.,-32%,32% + 1,32% - 1,32%,D,"For first stage, increase = 20%. So the new value becomes 120% of the previous value. ? 100%+20%=120% So the multiplier for first stage is 120/100. ? first stage multiplier=(120/100)=1.2 For second stage, increase = 10%. So the new value becomes 110% of the previous value. ? 100%+10%=110% So the multiplier for second stage is 110/100. ? second stage multiplier=(110/100)=1.1 Multiply the two stage multipliers to get the overall multiplier. ? Overall multiplier=1.2?1.1=1.32 Now compare this overall multiplier with 1 to find the net percentage change. ? Net change=left(1.32-1right)?100=32% Overall change = increase of 32%. ? Net percentage change=32%",,
PCT-CP-006:PCT-QL-011:PCT-005:en:5,PCT-CP-006,Medium,PCT-QL-011,Timeline,Abstract,Multiplier,Find the equivalent single multiplier for a value that first changes by +25% and then by +20%.,1.5,-1.5,1.5 + 1,1.5 - 1,A,"For first stage, increase = 25%. So the new value becomes 125% of the previous value. ? 100%+25%=125% So the multiplier for first stage is 125/100. ? first stage multiplier=(125/100)=1.25 For second stage, increase = 20%. So the new value becomes 120% of the previous value. ? 100%+20%=120% So the multiplier for second stage is 120/100. ? second stage multiplier=(120/100)=1.2 Multiply the stage multipliers to get one equivalent multiplier. ? Equivalent multiplier=1.25?1.2=1.5 So the single equivalent multiplier is 1.5. ? Equivalent multiplier=1.5",,
PCT-CP-007:PCT-QL-013:PCT-005:en:6,PCT-CP-007,Medium,PCT-QL-013,Timeline,Abstract,Comparison,"After successive changes of +25% and +10%, the final value became 618.75. Find the original value.",450,450 + 1,-450,450 - 1,A,"For first stage, increase = 25%. So the new value becomes 125% of the previous value. ? 100%+25%=125% So the multiplier for first stage is 125/100. ? first stage multiplier=(125/100)=1.25 For second stage, increase = 10%. So the new value becomes 110% of the previous value. ? 100%+10%=110% So the multiplier for second stage is 110/100. ? second stage multiplier=(110/100)=1.1 Multiply the stage multipliers to get the overall multiplier. ? Overall multiplier=1.25?1.1=1.375 The final value is already known. So divide it by the overall multiplier to get the original value. ? Original value=(618.75/1.375)=450 So the original value was 450. ? Original value=450",,
PCT-CP-008:PCT-QL-015:PCT-005:en:7,PCT-CP-008,Hard,PCT-QL-015,Direct,Abstract,Comparison,A was 5000 and changed by +10% and +20%. B was 1000 and changed by +12% and +20%. Find the difference between their final values.,5256,-5256,5256 + 1,5256 - 1,A,"For A first stage, increase = 10%. So the new value becomes 110% of the previous value. ? 100%+10%=110% So the multiplier for A first stage is 110/100. ? A first stage multiplier=(110/100)=1.1 For A second stage, increase = 20%. So the new value becomes 120% of the previous value. ? 100%+20%=120% So the multiplier for A second stage is 120/100. ? A second stage multiplier=(120/100)=1.2 So the final value of A is found by applying its combined multiplier. ? Final A=5000?1.32=6600 For B first stage, increase = 12%. So the new value becomes 112% of the previous value. ? 100%+12%=112% So the multiplier for B first stage is 112/100. ? B first stage multiplier=(112/100)=1.12 For B second stage, increase = 20%. So the new value becomes 120% of the previous value. ? 100%+20%=120% So the multiplier for B second stage is 120/100. ? B second stage multiplier=(120/100)=1.2 So the final value of B is found by applying its combined multiplier. ? Final B=1000?1.344=1344 Now compare the two final values. ? Difference=left|6600-1344right|=5256 So the difference between the final values is 5256. ? Difference=5256",,
PCT-CP-009:PCT-QL-017:PCT-005:en:8,PCT-CP-009,Hard,PCT-QL-017,Timeline,Abstract,Difference,"A value of 2000 changed successively by +10%, +15%, and -10%. Find the final value.",2277,-2277,2277 + 1,2277 - 1,A,"For stage 1, increase = 10%. So the new value becomes 110% of the previous value. ? 100%+10%=110% So the multiplier for stage 1 is 110/100. ? stage 1 multiplier=(110/100)=1.1 For stage 2, increase = 15%. So the new value becomes 115% of the previous value. ? 100%+15%=115% So the multiplier for stage 2 is 115/100. ? stage 2 multiplier=(115/100)=1.15 For stage 3, decrease = 10%. So the new value becomes 90% of the previous value. ? 100%-10%=90% 90% can also be written as the fraction 9/10. ? 90%=(9/10) So the multiplier for stage 3 is 90/100. ? stage 3 multiplier=(90/100)=0.9 Multiply all the stage multipliers to get one overall multiplier. ? Overall multiplier=1.1?1.15?0.9=1.1385 Now multiply the original value by the overall multiplier. ? Final value=2000?1.1?1.15?0.9=2277 So the final value is 2277. ? Final value=2277",,
PCT-CP-010:PCT-QL-019:PCT-005:en:9,PCT-CP-010,Hard,PCT-QL-019,Timeline,Population,Count/Partition output,"A population of 5000 first increased by 10%, then decreased by 10%, and then increased by 10%. Find the final population.",-5445,5445 - 1,5445,5445 + 1,C,"For stage 1, increase = 10%. So the new value becomes 110% of the previous value. ? 100%+10%=110% So the multiplier for stage 1 is 110/100. ? stage 1 multiplier=(110/100)=1.1 For stage 2, decrease = 10%. So the new value becomes 90% of the previous value. ? 100%-10%=90% 90% can also be written as the fraction 9/10. ? 90%=(9/10) So the multiplier for stage 2 is 90/100. ? stage 2 multiplier=(90/100)=0.9 For stage 3, increase = 10%. So the new value becomes 110% of the previous value. ? 100%+10%=110% So the multiplier for stage 3 is 110/100. ? stage 3 multiplier=(110/100)=1.1 Multiply all the stage multipliers to get one overall multiplier. ? Overall multiplier=1.1?0.9?1.1=1.089 Now multiply the original population by the overall multiplier. ? Final population=5000?1.1?0.9?1.1=5445 So the final population is 5445. ? Final population=5445",,
