Question ID,CP,Difficulty,QL ID,Structure,Context,Answer Archetype,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation,Review Status,Reviewer Notes
PCT-CP-001:PCT-QL-001:51668,PCT-CP-001,Easy,PCT-QL-001,Direct,Population,Final value,"In an election, 5% of the 500 registered voters cast their vote. How many votes were cast?",-25,25 + 1,25 - 1,25,D,"5% of 500 [ ? 5% of 500 ] = [ ? (5/100)?500 ] = [ ? (5?500/100) ] = [ ? 25 ] Hence, the required value is 25.",,
PCT-CP-002:PCT-QL-010:51669,PCT-CP-002,Easy,PCT-QL-010,Narrative,Abstract,Final value,"If 5000 is increased by 50%, find the new number.",-7500,7500 - 1,7500,7500 + 1,C,"Given [ ? 5000?(100+50/100) ] Calculation [ ? 5000?(150/100) ] = [ ? =7500 ] Answer [ ? 7500 ] So, the increased value is 7500.",,
PCT-CP-003:PCT-QL-020:51670,PCT-CP-003,Medium,PCT-QL-020,Timeline,Population,Percentage change,Two successive increases of 40% and 50% are equal to a single increase of how much?,-110%,110% - 1,110%,110% + 1,C,"Given [ ? 40+50+(40?50/100) ] Calculation [ ? 90+(2000/100) ] = [ ? =110% ] Answer [ ? 110% ] So, the single equivalent increase is 110%.",,
PCT-CP-004:PCT-QL-028:51671,PCT-CP-004,Medium,PCT-QL-028,Narrative,Money,Percentage change,"If the price of sugar increases by 22%, by how much percent should a family reduce its consumption to keep the expenditure same?",-18.03%,18.03% - 1,18.03%,18.03% + 1,C,"Given [ ? New base=100+22=122 ] Calculation [ ? (22?100/122) ] = [ ? =18.03% ] Answer [ ? 18.03% ] Hence, the required decrease is 18.03%.",,
PCT-CP-005:PCT-QL-036:51672,PCT-CP-005,Medium,PCT-QL-036,Multi-statement,Money,Final value,"A man spends 25% of his income on food, 25% on rent and 20% on other things. If he saves Rs. 1800, find his total income.",6000,6000 + 1,-6000,6000 - 1,A,"Given [ ? 100-25-25-20=30% ] Calculation [ ? (1800?100/30) ] = [ ? =6000 ] Answer [ ? 6000 ] Thus, the total income is 6000.",,
PCT-CP-006:PCT-QL-048:51673,PCT-CP-006,Hard,PCT-QL-048,Direct,Mixture/Container,Difference,A mixture of 20000 litres has 16.66% acid. How much water should be added to make it 10% acid?,13320 + 1,13320 - 1,-13320,13320,D,"Given [ ? Acid=(16.66/100)?20000 ] Calculation [ ? Final volume=(3332?100/10) ] = [ ? Water=(3332?100/10)-20000=13320 ] Answer [ ? 13320 ] Therefore, the water added is 13320.",,
PCT-CP-001:PCT-QL-002:51674,PCT-CP-001,Easy,PCT-QL-002,Direct,Population,Final value,"In an election, 15% of the 500 registered voters cast their vote. How many votes were cast?",-75,75 + 1,75 - 1,75,D,"15% of 500 [ ? 15% of 500 ] = [ ? (15/100)?500 ] = [ ? (15?500/100) ] = [ ? 75 ] Hence, the required value is 75.",,
PCT-CP-002:PCT-QL-011:51675,PCT-CP-002,Easy,PCT-QL-011,Narrative,Abstract,Final value,"If 200 is decreased by 10%, find the new number.",-180,180 - 1,180 + 1,180,D,"Given [ ? 200?(100-10/100) ] Calculation [ ? 200?(90/100) ] = [ ? =180 ] Answer [ ? 180 ] Accordingly, the reduced value is 180.",,
PCT-CP-003:PCT-QL-021:51676,PCT-CP-003,Medium,PCT-QL-021,Timeline,Population,Percentage change,The population of a town increases by 80% in the first year and by 30% in the second year. Find the total percentage increase.,134%,134% - 1,134% + 1,-134%,A,"Given [ ? 80+30+(80?30/100) ] Calculation [ ? 110+(2400/100) ] = [ ? =134% ] Answer [ ? 134% ] Thus, the single equivalent increase is 134%.",,
PCT-CP-004:PCT-QL-029:51677,PCT-CP-004,Medium,PCT-QL-029,Direct,Money,Percentage change,The price of petrol falls by 35%. By what percent can a person increase his consumption so that the total cost remains same?,53.85%,53.85% - 1,53.85% + 1,-53.85%,A,"Given [ ? New base=100-35=65 ] Calculation [ ? (35?100/65) ] = [ ? =53.85% ] Answer [ ? 53.85% ] Accordingly, the permissible increase is 53.85%.",,
PCT-CP-005:PCT-QL-037:28827,PCT-CP-005,Hard,PCT-QL-037,Observation,Money,Final value,"A person spends 15% of his salary on food and 20% of the remaining on rent. If he still has Rs. 10200 left, find his salary.",-15000,15000 - 1,15000,15000 + 1,C,"Given [ ? Remaining fraction=(85/100)?(80/100) ] Calculation [ ? (10200?10000/85?80) ] = [ ? =15000 ] Answer [ ? 15000 ] Hence, the salary is 15000.",,
PCT-CP-006:PCT-QL-049:28828,PCT-CP-006,Hard,PCT-QL-049,Direct,Weight,Difference,"340 kg of fresh fruit has 90% water, and dry fruit has 15% water. How many kg of dry fruit can be made from 340 kg of fresh fruit?",40,-40,40 + 1,40 - 1,A,"Given [ ? Solid matter=(10/100)?340 ] Calculation [ ? Dry weight=(340?10/85) ] = [ ? =40 ] Answer [ ? 40 ] Thus, the weight of dry fruit is 40.",,
PCT-CP-001:PCT-QL-003:28829,PCT-CP-001,Easy,PCT-QL-003,Direct,Education,Final value,Convert 50% into its simplest fractional form.,(1/2),(1/2) + 1,(1/2) - 1,-(1/2),A,"Given [ ? 50%=(50/100) ] Calculation [ ? (50/100) ] = [ ? =(1/2) ] Answer [ ? (1/2) ] Therefore, the percentage in fractional form is (1/2).",,
PCT-CP-002:PCT-QL-012:28830,PCT-CP-002,Medium,PCT-QL-012,Before/After,Abstract,Original/Recovery value,"If 28% is added to a number, it becomes 5120. Find the number.",-4000,4000 + 1,4000 - 1,4000,D,"Given [ ? 100+28=128% ] Calculation [ ? (5120?100/128) ] = [ ? =4000 ] Answer [ ? 4000 ] Accordingly, the original value is 4000.",,
PCT-CP-003:PCT-QL-022:28831,PCT-CP-003,Medium,PCT-QL-022,Timeline,Population,Percentage change,A number is increased by 30% and then decreased by 60%. Find the total change percent.,-48%,--48%,-48% + 1,-48% - 1,A,"Equivalent percentage change [ ? a+b+(ab/100) ] = [ ? 30+(-60)+(30?(-60)/100) ] = [ ? -30+(-1800/100) ] = [ ? -48% ] Hence, the overall change is -48%.",,
