"Question ID","Canonical Problem","Difficulty","Topology","Question Language ID","Explanation Style ID","Question","Answer","Explanation","Divisor","Remainder","Quotient","Dividend","Lower Bound","Upper Bound"
"NS-REM-002:CP-008:NS-REM-002-HUMAN-REVIEW-500:CP-008:0","CP-008","Medium","Missing Component","QL-024","ES-004","Find the remainder if dividend = 5922, divisor = 17, and quotient = 348.","6","Rearrange the division formula and simplify.

Answer:

6","17","6","348","5922","",""
"NS-REM-002:CP-008:NS-REM-002-HUMAN-REVIEW-500:CP-008:1","CP-008","Medium","Missing Component","QL-024","ES-004","Find the remainder if dividend = 9387, divisor = 40, and quotient = 234.","27","Rearrange the division formula and simplify.

Answer:

27","40","27","234","9387","",""
"NS-REM-002:CP-008:NS-REM-002-HUMAN-REVIEW-500:CP-008:2","CP-008","Medium","Missing Component","QL-025","ES-003","A dividend 3512 is divided by 22 and gives quotient 159. Determine the remainder.","14","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

14","22","14","159","3512","",""
"NS-REM-002:CP-008:NS-REM-002-HUMAN-REVIEW-500:CP-008:3","CP-008","Easy","Missing Component","QL-024","ES-004","Find the remainder if dividend = 721, divisor = 17, and quotient = 42.","7","Rearrange the division formula and simplify.

Answer:

7","17","7","42","721","",""
"NS-REM-002:CP-008:NS-REM-002-HUMAN-REVIEW-500:CP-008:4","CP-008","Easy","Missing Component","QL-024","ES-003","Find the remainder if dividend = 306, divisor = 14, and quotient = 21.","12","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

12","14","12","21","306","",""
"NS-REM-002:CP-008:NS-REM-002-HUMAN-REVIEW-500:CP-008:5","CP-008","Medium","Missing Component","QL-025","ES-004","A dividend 14917 is divided by 41 and gives quotient 363. Determine the remainder.","34","Rearrange the division formula and simplify.

Answer:

34","41","34","363","14917","",""
"NS-REM-002:CP-008:NS-REM-002-HUMAN-REVIEW-500:CP-008:6","CP-008","Easy","Missing Component","QL-026","ES-004","Remainder = ?

Dividend = 149

Divisor = 5

Quotient = 29","4","Rearrange the division formula and simplify.

Answer:

4","5","4","29","149","",""
"NS-REM-002:CP-008:NS-REM-002-HUMAN-REVIEW-500:CP-008:7","CP-008","Medium","Missing Component","QL-026","ES-003","Remainder = ?

Dividend = 11649

Divisor = 29

Quotient = 401","20","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

20","29","20","401","11649","",""
"NS-REM-002:CP-008:NS-REM-002-HUMAN-REVIEW-500:CP-008:8","CP-008","Easy","Missing Component","QL-024","ES-003","Find the remainder if dividend = 49, divisor = 13, and quotient = 3.","10","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

10","13","10","3","49","",""
"NS-REM-002:CP-008:NS-REM-002-HUMAN-REVIEW-500:CP-008:9","CP-008","Easy","Missing Component","QL-025","ES-004","A dividend 649 is divided by 14 and gives quotient 46. Determine the remainder.","5","Rearrange the division formula and simplify.

Answer:

5","14","5","46","649","",""
