"Question ID","Canonical Problem","Difficulty","Topology","Question Language ID","Explanation Style ID","Question","Answer","Explanation","Divisor","Remainder","Quotient","Dividend","Lower Bound","Upper Bound"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:0","CP-004","Easy","Range Counting","QL-014","ES-008","Find the number of integers between 69 and 447 that leave remainder 16 when divided by 20.","19","The valid numbers form an arithmetic sequence.

Count the terms.

Answer:

19","20","16","","","69","447"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:1","CP-004","Medium","Range Counting","QL-014","ES-008","Find the number of integers between 646 and 6823 that leave remainder 23 when divided by 32.","193","The valid numbers form an arithmetic sequence.

Count the terms.

Answer:

193","32","23","","","646","6823"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:2","CP-004","Medium","Range Counting","QL-014","ES-008","Find the number of integers between 202 and 8596 that leave remainder 0 when divided by 50.","167","The valid numbers form an arithmetic sequence.

Count the terms.

Answer:

167","50","0","","","202","8596"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:3","CP-004","Medium","Range Counting","QL-012","ES-008","How many numbers between 1920 and 6442 leave remainder 33 when divided by 49?","92","The valid numbers form an arithmetic sequence.

Count the terms.

Answer:

92","49","33","","","1920","6442"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:4","CP-004","Easy","Range Counting","QL-012","ES-007","How many numbers between 34 and 201 leave remainder 4 when divided by 12?","14","Find the first and last numbers in the range that satisfy the remainder condition.

Count them.

Answer:

14","12","4","","","34","201"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:5","CP-004","Medium","Range Counting","QL-012","ES-007","How many numbers between 190 and 6845 leave remainder 7 when divided by 42?","158","Find the first and last numbers in the range that satisfy the remainder condition.

Count them.

Answer:

158","42","7","","","190","6845"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:6","CP-004","Medium","Range Counting","QL-014","ES-008","Find the number of integers between 1373 and 5382 that leave remainder 6 when divided by 16.","251","The valid numbers form an arithmetic sequence.

Count the terms.

Answer:

251","16","6","","","1373","5382"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:7","CP-004","Easy","Range Counting","QL-012","ES-008","How many numbers between 38 and 126 leave remainder 11 when divided by 14?","7","The valid numbers form an arithmetic sequence.

Count the terms.

Answer:

7","14","11","","","38","126"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:8","CP-004","Easy","Range Counting","QL-012","ES-007","How many numbers between 106 and 184 leave remainder 1 when divided by 5?","16","Find the first and last numbers in the range that satisfy the remainder condition.

Count them.

Answer:

16","5","1","","","106","184"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:9","CP-004","Easy","Range Counting","QL-012","ES-007","How many numbers between 12 and 189 leave remainder 7 when divided by 8?","22","Find the first and last numbers in the range that satisfy the remainder condition.

Count them.

Answer:

22","8","7","","","12","189"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:10","CP-004","Easy","Range Counting","QL-012","ES-007","How many numbers between 187 and 494 leave remainder 4 when divided by 15?","20","Find the first and last numbers in the range that satisfy the remainder condition.

Count them.

Answer:

20","15","4","","","187","494"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:11","CP-004","Hard","Range Counting","QL-013","ES-008","Count the numbers from 2782 to 42024 that give remainder 4 on division by 8.","4905","The valid numbers form an arithmetic sequence.

Count the terms.

Answer:

4905","8","4","","","2782","42024"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:12","CP-004","Medium","Range Counting","QL-013","ES-007","Count the numbers from 1576 to 9916 that give remainder 7 on division by 25.","334","Find the first and last numbers in the range that satisfy the remainder condition.

Count them.

Answer:

334","25","7","","","1576","9916"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:13","CP-004","Hard","Range Counting","QL-012","ES-007","How many numbers between 6089 and 43614 leave remainder 6 when divided by 41?","915","Find the first and last numbers in the range that satisfy the remainder condition.

Count them.

Answer:

915","41","6","","","6089","43614"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:14","CP-004","Medium","Range Counting","QL-014","ES-007","Find the number of integers between 1271 and 8734 that leave remainder 15 when divided by 42.","178","Find the first and last numbers in the range that satisfy the remainder condition.

Count them.

Answer:

178","42","15","","","1271","8734"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:15","CP-004","Easy","Range Counting","QL-012","ES-008","How many numbers between 86 and 465 leave remainder 0 when divided by 16?","24","The valid numbers form an arithmetic sequence.

Count the terms.

Answer:

24","16","0","","","86","465"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:16","CP-004","Easy","Range Counting","QL-012","ES-008","How many numbers between 161 and 170 leave remainder 4 when divided by 9?","1","The valid numbers form an arithmetic sequence.

Count the terms.

Answer:

1","9","4","","","161","170"
"NS-REM-002:CP-004:NS-REM-002-HUMAN-REVIEW-500:CP-004:17","CP-004","Medium","Range Counting","QL-013","ES-007","Count the numbers from 1633 to 2219 that give remainder 2 on division by 13.","45","Find the first and last numbers in the range that satisfy the remainder condition.

Count them.

Answer:

45","13","2","","","1633","2219"
