"Question ID","Canonical Problem","Difficulty","Topology","Question Language ID","Explanation Style ID","Question","Answer","Explanation","Divisor","Remainder","Quotient","Dividend","Lower Bound","Upper Bound"
"NS-REM-002:CP-007:NS-REM-002-HUMAN-REVIEW-500:CP-007:0","CP-007","Hard","Missing Component","QL-023","ES-003","Quotient = ?

Dividend = 18389

Divisor = 9

Remainder = 2","2043","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

2043","9","2","2043","18389","",""
"NS-REM-002:CP-007:NS-REM-002-HUMAN-REVIEW-500:CP-007:1","CP-007","Easy","Missing Component","QL-021","ES-003","Find the quotient if dividend = 238, divisor = 6, and remainder = 4.","39","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

39","6","4","39","238","",""
"NS-REM-002:CP-007:NS-REM-002-HUMAN-REVIEW-500:CP-007:2","CP-007","Easy","Missing Component","QL-023","ES-004","Quotient = ?

Dividend = 811

Divisor = 19

Remainder = 13","42","Rearrange the division formula and simplify.

Answer:

42","19","13","42","811","",""
"NS-REM-002:CP-007:NS-REM-002-HUMAN-REVIEW-500:CP-007:3","CP-007","Medium","Missing Component","QL-021","ES-003","Find the quotient if dividend = 5698, divisor = 33, and remainder = 22.","172","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

172","33","22","172","5698","",""
"NS-REM-002:CP-007:NS-REM-002-HUMAN-REVIEW-500:CP-007:4","CP-007","Hard","Missing Component","QL-022","ES-003","A dividend 223038 is divided by 75 and leaves remainder 63. Determine the quotient.","2973","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

2973","75","63","2973","223038","",""
"NS-REM-002:CP-007:NS-REM-002-HUMAN-REVIEW-500:CP-007:5","CP-007","Hard","Missing Component","QL-021","ES-003","Find the quotient if dividend = 77670, divisor = 76, and remainder = 74.","1021","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

1021","76","74","1021","77670","",""
"NS-REM-002:CP-007:NS-REM-002-HUMAN-REVIEW-500:CP-007:6","CP-007","Medium","Missing Component","QL-022","ES-003","A dividend 3915 is divided by 20 and leaves remainder 15. Determine the quotient.","195","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

195","20","15","195","3915","",""
"NS-REM-002:CP-007:NS-REM-002-HUMAN-REVIEW-500:CP-007:7","CP-007","Medium","Missing Component","QL-022","ES-004","A dividend 2437 is divided by 15 and leaves remainder 7. Determine the quotient.","162","Rearrange the division formula and simplify.

Answer:

162","15","7","162","2437","",""
"NS-REM-002:CP-007:NS-REM-002-HUMAN-REVIEW-500:CP-007:8","CP-007","Medium","Missing Component","QL-021","ES-004","Find the quotient if dividend = 635, divisor = 15, and remainder = 5.","42","Rearrange the division formula and simplify.

Answer:

42","15","5","42","635","",""
"NS-REM-002:CP-007:NS-REM-002-HUMAN-REVIEW-500:CP-007:9","CP-007","Easy","Missing Component","QL-023","ES-004","Quotient = ?

Dividend = 541

Divisor = 11

Remainder = 2","49","Rearrange the division formula and simplify.

Answer:

49","11","2","49","541","",""
