"Question ID","Canonical Problem","Difficulty","Topology","Question Language ID","Explanation Style ID","Question","Answer","Explanation","Divisor","Remainder","Quotient","Dividend","Lower Bound","Upper Bound"
"NS-REM-002:CP-005:NS-REM-002-HUMAN-REVIEW-500:CP-005:0","CP-005","Medium","Range Summation","QL-017","ES-009","What is the sum of numbers between 909 and 4103 whose remainder is 4 when divided by 39?","206599","Find the valid numbers in the range.

They form an arithmetic sequence.

Sum the terms.

Answer:

206599","39","4","","","909","4103"
"NS-REM-002:CP-005:NS-REM-002-HUMAN-REVIEW-500:CP-005:1","CP-005","Medium","Range Summation","QL-017","ES-010","What is the sum of numbers between 268 and 6382 whose remainder is 4 when divided by 40?","508572","Use the first term, last term, and number of terms.

Required sum:

508572","40","4","","","268","6382"
"NS-REM-002:CP-005:NS-REM-002-HUMAN-REVIEW-500:CP-005:2","CP-005","Medium","Range Summation","QL-017","ES-009","What is the sum of numbers between 724 and 7919 whose remainder is 13 when divided by 20?","1556280","Find the valid numbers in the range.

They form an arithmetic sequence.

Sum the terms.

Answer:

1556280","20","13","","","724","7919"
"NS-REM-002:CP-005:NS-REM-002-HUMAN-REVIEW-500:CP-005:3","CP-005","Hard","Range Summation","QL-016","ES-009","Add all integers from 9563 to 27762 that give remainder 8 on division by 11.","30888920","Find the valid numbers in the range.

They form an arithmetic sequence.

Sum the terms.

Answer:

30888920","11","8","","","9563","27762"
"NS-REM-002:CP-005:NS-REM-002-HUMAN-REVIEW-500:CP-005:4","CP-005","Medium","Range Summation","QL-015","ES-009","Find the sum of all numbers between 1013 and 1022 that leave remainder 0 when divided by 9.","1017","Find the valid numbers in the range.

They form an arithmetic sequence.

Sum the terms.

Answer:

1017","9","0","","","1013","1022"
"NS-REM-002:CP-005:NS-REM-002-HUMAN-REVIEW-500:CP-005:5","CP-005","Easy","Range Summation","QL-016","ES-009","Add all integers from 198 to 209 that give remainder 8 on division by 11.","206","Find the valid numbers in the range.

They form an arithmetic sequence.

Sum the terms.

Answer:

206","11","8","","","198","209"
"NS-REM-002:CP-005:NS-REM-002-HUMAN-REVIEW-500:CP-005:6","CP-005","Medium","Range Summation","QL-016","ES-009","Add all integers from 1681 to 4694 that give remainder 7 on division by 17.","563922","Find the valid numbers in the range.

They form an arithmetic sequence.

Sum the terms.

Answer:

563922","17","7","","","1681","4694"
"NS-REM-002:CP-005:NS-REM-002-HUMAN-REVIEW-500:CP-005:7","CP-005","Easy","Range Summation","QL-016","ES-010","Add all integers from 67 to 157 that give remainder 0 on division by 14.","784","Use the first term, last term, and number of terms.

Required sum:

784","14","0","","","67","157"
"NS-REM-002:CP-005:NS-REM-002-HUMAN-REVIEW-500:CP-005:8","CP-005","Medium","Range Summation","QL-015","ES-010","Find the sum of all numbers between 1581 and 1886 that leave remainder 11 when divided by 44.","12089","Use the first term, last term, and number of terms.

Required sum:

12089","44","11","","","1581","1886"
"NS-REM-002:CP-005:NS-REM-002-HUMAN-REVIEW-500:CP-005:9","CP-005","Easy","Range Summation","QL-017","ES-009","What is the sum of numbers between 179 and 223 whose remainder is 6 when divided by 11?","794","Find the valid numbers in the range.

They form an arithmetic sequence.

Sum the terms.

Answer:

794","11","6","","","179","223"
"NS-REM-002:CP-005:NS-REM-002-HUMAN-REVIEW-500:CP-005:10","CP-005","Easy","Range Summation","QL-016","ES-010","Add all integers from 156 to 204 that give remainder 0 on division by 10.","900","Use the first term, last term, and number of terms.

Required sum:

900","10","0","","","156","204"
"NS-REM-002:CP-005:NS-REM-002-HUMAN-REVIEW-500:CP-005:11","CP-005","Easy","Range Summation","QL-016","ES-010","Add all integers from 143 to 212 that give remainder 1 on division by 18.","688","Use the first term, last term, and number of terms.

Required sum:

688","18","1","","","143","212"
