"Question ID","Canonical Problem","Difficulty","Topology","Question Language ID","Explanation Style ID","Question","Answer","Explanation","Divisor","Remainder","Quotient","Dividend","Lower Bound","Upper Bound"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:0","CP-003","Easy","Bounded Search","QL-011","ES-006","Which is the largest number less than 352 that gives remainder 1 when divided by 4?","349","Check numbers satisfying the remainder condition near the bound.

Answer:

349","4","1","","","","352"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:1","CP-003","Medium","Bounded Search","QL-010","ES-005","Find the greatest number below 6716 that leaves remainder 8 on division by 29.","6707","Use the remainder condition and the given bound.

The required number is:

6707","29","8","","","","6716"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:2","CP-003","Easy","Bounded Search","QL-011","ES-006","Which is the largest number less than 419 that gives remainder 5 when divided by 10?","415","Check numbers satisfying the remainder condition near the bound.

Answer:

415","10","5","","","","419"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:3","CP-003","Medium","Bounded Search","QL-011","ES-006","Which is the largest number less than 4385 that gives remainder 8 when divided by 40?","4368","Check numbers satisfying the remainder condition near the bound.

Answer:

4368","40","8","","","","4385"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:4","CP-003","Easy","Bounded Search","QL-010","ES-005","Find the greatest number below 356 that leaves remainder 6 on division by 19.","348","Use the remainder condition and the given bound.

The required number is:

348","19","6","","","","356"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:5","CP-003","Medium","Bounded Search","QL-010","ES-005","Find the greatest number below 4109 that leaves remainder 2 on division by 5.","4107","Use the remainder condition and the given bound.

The required number is:

4107","5","2","","","","4109"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:6","CP-003","Medium","Bounded Search","QL-009","ES-005","A number leaves remainder 10 when divided by 11. Find the greatest such number less than 4173.","4168","Use the remainder condition and the given bound.

The required number is:

4168","11","10","","","","4173"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:7","CP-003","Medium","Bounded Search","QL-011","ES-006","Which is the largest number less than 1279 that gives remainder 8 when divided by 14?","1268","Check numbers satisfying the remainder condition near the bound.

Answer:

1268","14","8","","","","1279"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:8","CP-003","Hard","Bounded Search","QL-009","ES-005","A number leaves remainder 9 when divided by 84. Find the greatest such number less than 7176.","7149","Use the remainder condition and the given bound.

The required number is:

7149","84","9","","","","7176"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:9","CP-003","Hard","Bounded Search","QL-010","ES-005","Find the greatest number below 24054 that leaves remainder 28 on division by 54.","24004","Use the remainder condition and the given bound.

The required number is:

24004","54","28","","","","24054"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:10","CP-003","Easy","Bounded Search","QL-009","ES-005","A number leaves remainder 0 when divided by 16. Find the greatest such number less than 340.","336","Use the remainder condition and the given bound.

The required number is:

336","16","0","","","","340"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:11","CP-003","Medium","Bounded Search","QL-010","ES-005","Find the greatest number below 5677 that leaves remainder 17 on division by 47.","5657","Use the remainder condition and the given bound.

The required number is:

5657","47","17","","","","5677"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:12","CP-003","Easy","Bounded Search","QL-011","ES-005","Which is the largest number less than 238 that gives remainder 7 when divided by 17?","228","Use the remainder condition and the given bound.

The required number is:

228","17","7","","","","238"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:13","CP-003","Easy","Bounded Search","QL-009","ES-006","A number leaves remainder 3 when divided by 6. Find the greatest such number less than 128.","123","Check numbers satisfying the remainder condition near the bound.

Answer:

123","6","3","","","","128"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:14","CP-003","Easy","Bounded Search","QL-010","ES-006","Find the greatest number below 298 that leaves remainder 8 on division by 11.","294","Check numbers satisfying the remainder condition near the bound.

Answer:

294","11","8","","","","298"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:15","CP-003","Medium","Bounded Search","QL-009","ES-005","A number leaves remainder 10 when divided by 11. Find the greatest such number less than 9971.","9965","Use the remainder condition and the given bound.

The required number is:

9965","11","10","","","","9971"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:16","CP-003","Hard","Bounded Search","QL-011","ES-006","Which is the largest number less than 15824 that gives remainder 18 when divided by 21?","15810","Check numbers satisfying the remainder condition near the bound.

Answer:

15810","21","18","","","","15824"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:17","CP-003","Medium","Bounded Search","QL-011","ES-006","Which is the largest number less than 4032 that gives remainder 4 when divided by 15?","4024","Check numbers satisfying the remainder condition near the bound.

Answer:

4024","15","4","","","","4032"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:18","CP-003","Hard","Bounded Search","QL-010","ES-006","Find the greatest number below 23797 that leaves remainder 1 on division by 87.","23752","Check numbers satisfying the remainder condition near the bound.

Answer:

23752","87","1","","","","23797"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:19","CP-003","Easy","Bounded Search","QL-009","ES-006","A number leaves remainder 11 when divided by 12. Find the greatest such number less than 499.","491","Check numbers satisfying the remainder condition near the bound.

Answer:

491","12","11","","","","499"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:20","CP-003","Hard","Bounded Search","QL-011","ES-005","Which is the largest number less than 6657 that gives remainder 3 when divided by 33?","6636","Use the remainder condition and the given bound.

The required number is:

6636","33","3","","","","6657"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:21","CP-003","Hard","Bounded Search","QL-009","ES-006","A number leaves remainder 24 when divided by 62. Find the greatest such number less than 8174.","8146","Check numbers satisfying the remainder condition near the bound.

Answer:

8146","62","24","","","","8174"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:22","CP-003","Medium","Bounded Search","QL-009","ES-006","A number leaves remainder 4 when divided by 13. Find the greatest such number less than 4065.","4060","Check numbers satisfying the remainder condition near the bound.

Answer:

4060","13","4","","","","4065"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:23","CP-003","Medium","Bounded Search","QL-010","ES-006","Find the greatest number below 2723 that leaves remainder 0 on division by 2.","2722","Check numbers satisfying the remainder condition near the bound.

Answer:

2722","2","0","","","","2723"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:24","CP-003","Easy","Bounded Search","QL-009","ES-005","A number leaves remainder 11 when divided by 15. Find the greatest such number less than 289.","281","Use the remainder condition and the given bound.

The required number is:

281","15","11","","","","289"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:25","CP-003","Easy","Bounded Search","QL-010","ES-006","Find the greatest number below 175 that leaves remainder 8 on division by 10.","168","Check numbers satisfying the remainder condition near the bound.

Answer:

168","10","8","","","","175"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:26","CP-003","Easy","Bounded Search","QL-010","ES-005","Find the greatest number below 86 that leaves remainder 1 on division by 3.","85","Use the remainder condition and the given bound.

The required number is:

85","3","1","","","","86"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:27","CP-003","Hard","Bounded Search","QL-009","ES-005","A number leaves remainder 2 when divided by 12. Find the greatest such number less than 5459.","5450","Use the remainder condition and the given bound.

The required number is:

5450","12","2","","","","5459"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:28","CP-003","Medium","Bounded Search","QL-011","ES-006","Which is the largest number less than 3980 that gives remainder 4 when divided by 15?","3979","Check numbers satisfying the remainder condition near the bound.

Answer:

3979","15","4","","","","3980"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:29","CP-003","Medium","Bounded Search","QL-010","ES-006","Find the greatest number below 3265 that leaves remainder 24 on division by 35.","3244","Check numbers satisfying the remainder condition near the bound.

Answer:

3244","35","24","","","","3265"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:30","CP-003","Easy","Bounded Search","QL-009","ES-006","A number leaves remainder 10 when divided by 12. Find the greatest such number less than 348.","346","Check numbers satisfying the remainder condition near the bound.

Answer:

346","12","10","","","","348"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:31","CP-003","Medium","Bounded Search","QL-010","ES-005","Find the greatest number below 5726 that leaves remainder 1 on division by 8.","5721","Use the remainder condition and the given bound.

The required number is:

5721","8","1","","","","5726"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:32","CP-003","Easy","Bounded Search","QL-009","ES-006","A number leaves remainder 1 when divided by 17. Find the greatest such number less than 176.","171","Check numbers satisfying the remainder condition near the bound.

Answer:

171","17","1","","","","176"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:33","CP-003","Hard","Bounded Search","QL-011","ES-006","Which is the largest number less than 22302 that gives remainder 49 when divided by 67?","22293","Check numbers satisfying the remainder condition near the bound.

Answer:

22293","67","49","","","","22302"
"NS-REM-002:CP-003:NS-REM-002-HUMAN-REVIEW-500:CP-003:34","CP-003","Hard","Bounded Search","QL-010","ES-005","Find the greatest number below 36852 that leaves remainder 8 on division by 67.","36791","Use the remainder condition and the given bound.

The required number is:

36791","67","8","","","","36852"
