"Question ID","Canonical Problem","Difficulty","Topology","Question Language ID","Explanation Style ID","Question","Answer","Explanation","Divisor","Remainder","Quotient","Dividend","Lower Bound","Upper Bound"
"NS-REM-002:CP-002:NS-REM-002-HUMAN-REVIEW-500:CP-002:0","CP-002","Hard","Bounded Search","QL-007","ES-006","Find the least number greater than 8068 that leaves remainder 61 on division by 97.","8112","Check numbers satisfying the remainder condition near the bound.

Answer:

8112","97","61","","","8068",""
"NS-REM-002:CP-002:NS-REM-002-HUMAN-REVIEW-500:CP-002:1","CP-002","Medium","Bounded Search","QL-008","ES-005","Which is the smallest number above 1346 that gives remainder 15 when divided by 34?","1375","Use the remainder condition and the given bound.

The required number is:

1375","34","15","","","1346",""
"NS-REM-002:CP-002:NS-REM-002-HUMAN-REVIEW-500:CP-002:2","CP-002","Hard","Bounded Search","QL-006","ES-005","A number leaves remainder 12 when divided by 64. Find the smallest such number greater than 4761.","4812","Use the remainder condition and the given bound.

The required number is:

4812","64","12","","","4761",""
"NS-REM-002:CP-002:NS-REM-002-HUMAN-REVIEW-500:CP-002:3","CP-002","Easy","Bounded Search","QL-008","ES-006","Which is the smallest number above 176 that gives remainder 9 when divided by 10?","179","Check numbers satisfying the remainder condition near the bound.

Answer:

179","10","9","","","176",""
"NS-REM-002:CP-002:NS-REM-002-HUMAN-REVIEW-500:CP-002:4","CP-002","Medium","Bounded Search","QL-007","ES-005","Find the least number greater than 1403 that leaves remainder 14 on division by 22.","1422","Use the remainder condition and the given bound.

The required number is:

1422","22","14","","","1403",""
"NS-REM-002:CP-002:NS-REM-002-HUMAN-REVIEW-500:CP-002:5","CP-002","Easy","Bounded Search","QL-007","ES-006","Find the least number greater than 194 that leaves remainder 9 on division by 10.","199","Check numbers satisfying the remainder condition near the bound.

Answer:

199","10","9","","","194",""
"NS-REM-002:CP-002:NS-REM-002-HUMAN-REVIEW-500:CP-002:6","CP-002","Easy","Bounded Search","QL-008","ES-006","Which is the smallest number above 119 that gives remainder 10 when divided by 17?","129","Check numbers satisfying the remainder condition near the bound.

Answer:

129","17","10","","","119",""
"NS-REM-002:CP-002:NS-REM-002-HUMAN-REVIEW-500:CP-002:7","CP-002","Medium","Bounded Search","QL-006","ES-005","A number leaves remainder 34 when divided by 41. Find the smallest such number greater than 1017.","1018","Use the remainder condition and the given bound.

The required number is:

1018","41","34","","","1017",""
"NS-REM-002:CP-002:NS-REM-002-HUMAN-REVIEW-500:CP-002:8","CP-002","Medium","Bounded Search","QL-007","ES-006","Find the least number greater than 1307 that leaves remainder 2 on division by 23.","1313","Check numbers satisfying the remainder condition near the bound.

Answer:

1313","23","2","","","1307",""
"NS-REM-002:CP-002:NS-REM-002-HUMAN-REVIEW-500:CP-002:9","CP-002","Easy","Bounded Search","QL-008","ES-005","Which is the smallest number above 136 that gives remainder 3 when divided by 10?","143","Use the remainder condition and the given bound.

The required number is:

143","10","3","","","136",""
"NS-REM-002:CP-002:NS-REM-002-HUMAN-REVIEW-500:CP-002:10","CP-002","Medium","Bounded Search","QL-006","ES-006","A number leaves remainder 25 when divided by 26. Find the smallest such number greater than 998.","1013","Check numbers satisfying the remainder condition near the bound.

Answer:

1013","26","25","","","998",""
"NS-REM-002:CP-002:NS-REM-002-HUMAN-REVIEW-500:CP-002:11","CP-002","Medium","Bounded Search","QL-007","ES-005","Find the least number greater than 518 that leaves remainder 20 on division by 23.","526","Use the remainder condition and the given bound.

The required number is:

526","23","20","","","518",""
"NS-REM-002:CP-002:NS-REM-002-HUMAN-REVIEW-500:CP-002:12","CP-002","Medium","Bounded Search","QL-006","ES-006","A number leaves remainder 19 when divided by 32. Find the smallest such number greater than 724.","755","Check numbers satisfying the remainder condition near the bound.

Answer:

755","32","19","","","724",""
"NS-REM-002:CP-002:NS-REM-002-HUMAN-REVIEW-500:CP-002:13","CP-002","Easy","Bounded Search","QL-006","ES-005","A number leaves remainder 9 when divided by 19. Find the smallest such number greater than 73.","85","Use the remainder condition and the given bound.

The required number is:

85","19","9","","","73",""
"NS-REM-002:CP-002:NS-REM-002-HUMAN-REVIEW-500:CP-002:14","CP-002","Easy","Bounded Search","QL-007","ES-005","Find the least number greater than 93 that leaves remainder 13 on division by 14.","97","Use the remainder condition and the given bound.

The required number is:

97","14","13","","","93",""
