packageId,qlId,taskKind,stemVerdict,explanationVerdict,mathVerdict,optionVerdict,assistantStatus,humanStatus,notes
RAP-002,RAP-QL-201,chainAlignment,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-202,chainAlignment,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-203,chainAlignment,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-204,chainAlignment,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-205,extendedChainAlignment,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-206,extendedChainAlignment,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-207,extendedChainAlignment,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-208,extendedChainAlignment,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-209,missingChainRatio,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-210,missingChainRatio,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-211,missingChainRatio,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-212,chainAlignment,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-213,chainAlignment,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-214,extendedChainAlignment,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-217,missingChainRatio,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-218,chainAlignment,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-219,chainAlignment,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-301,reverseMiddleFinding,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-302,reverseMiddleFinding,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-303,reverseEndpointFinding,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-304,reverseEndpointFinding,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-305,constrainedReverseChain,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-306,constrainedReverseChain,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-307,reverseMiddleFinding,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-308,reverseMiddleFinding,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-309,reverseEndpointFinding,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-310,constrainedReverseChain,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-311,constrainedReverseChain,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-401,successiveRatioChange,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-402,successiveRatioChange,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-403,transferTracking,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-404,transferTracking,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-405,reconstructOriginalRatio,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-406,reconstructOriginalRatio,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-410,successiveRatioChange,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-411,successiveRatioChange,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-412,successiveRatioChange,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-413,successiveRatioChange,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-414,transferTracking,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-415,transferTracking,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-416,reconstructOriginalRatio,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-417,reconstructOriginalRatio,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-418,reconstructOriginalRatio,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-419,successiveRatioChange,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-420,successiveRatioChange,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-421,successiveRatioChange,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-422,reconstructOriginalRatio,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-423,reconstructOriginalRatio,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-424,successiveRatioChange,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-425,successiveRatioChange,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-426,transferTracking,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-427,reconstructOriginalRatio,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-428,successiveRatioChange,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-429,reconstructOriginalRatio,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-501,nestedPartition,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-502,nestedPartition,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-503,conditionalDistribution,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-504,conditionalDistribution,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-505,weightedNestedPartition,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-506,weightedNestedPartition,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-509,nestedPartition,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-512,conditionalDistribution,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-518,weightedNestedPartition,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-601,inverseChainWork,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-602,inverseChainWork,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-603,inverseChainSpeed,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
RAP-002,RAP-QL-604,inverseChainSpeed,PASS,PASS,PASS_12,PASS_12,REVIEWED_PASS,PENDING,
