"packageId","cpId","qlId","taskKind","primaryQuestionId","primarySeed","primaryFingerprint","primaryStem","variantQuestionId","variantSeed","variantFingerprint","variantStem","sameStem"
"RAP-003","RAP-CP-013","RAP-QL-801","partnershipProfitShare","RAP-CP-013:RAP-QL-801:rap-003:human-review:RAP-QL-801:0:RAP-CP-013:0","rap-003:human-review:RAP-QL-801:0:RAP-CP-013:0","fnv1a-c0c4e086","Ravi and Sunita start a business with investments of Rs. 30000 and Rs. 45000. Ravi invests for 10 months and Sunita invests for 10 months. If the total profit is Rs. 25000, find Ravi's share.","RAP-CP-013:RAP-QL-801:rap-003:same-ql-diversity:RAP-QL-801:7:RAP-CP-013:0","rap-003:same-ql-diversity:RAP-QL-801:7:RAP-CP-013:0","fnv1a-0ee8a108","Ravi and Sunita start a business with investments of Rs. 240000 and Rs. 360000. Ravi invests for 10 months and Sunita invests for 10 months. If the total profit is Rs. 200000, find Sunita's share.","false"
"RAP-003","RAP-CP-013","RAP-QL-802","partnershipJoiningPartnerProfit","RAP-CP-013:RAP-QL-802:rap-003:human-review:RAP-QL-802:0:RAP-CP-013:0","rap-003:human-review:RAP-QL-802:0:RAP-CP-013:0","fnv1a-2bc907c9","Partner A invests Rs. 40000 for 12 months. Partner B joins later with Rs. 60000 and invests for 9 months. If the total profit is Rs. 23000, what is Partner B's profit share? Give your answer correct to two decimal places.","RAP-CP-013:RAP-QL-802:rap-003:same-ql-diversity:RAP-QL-802:7:RAP-CP-013:0","rap-003:same-ql-diversity:RAP-QL-802:7:RAP-CP-013:0","fnv1a-4947acff","Ravi invests Rs. 480000 for 12 months. Sunita joins later with Rs. 720000 and invests for 6 months. If the total profit is Rs. 224000, what is Ravi's profit share?","false"
"RAP-003","RAP-CP-013","RAP-QL-803","partnershipMidPeriodChange","RAP-CP-013:RAP-QL-803:rap-003:human-review:RAP-QL-803:0:RAP-CP-013:0","rap-003:human-review:RAP-QL-803:0:RAP-CP-013:0","fnv1a-1afde0ec","Ravi invests Rs. 50000 for 4 months and then Rs. 70000 for 8 months. Sunita invests Rs. 60000 for 12 months. If total profit is Rs. 42000, find Ravi's share. Give your answer correct to two decimal places.","RAP-CP-013:RAP-QL-803:rap-003:same-ql-diversity:RAP-QL-803:7:RAP-CP-013:0","rap-003:same-ql-diversity:RAP-QL-803:7:RAP-CP-013:0","fnv1a-7f7ba3f9","Aman invests Rs. 240000 for 6 months and then Rs. 160000 for 6 months. Bhavna invests Rs. 320000 for 12 months. If total profit is Rs. 208000, find Bhavna's share.","false"
"RAP-003","RAP-CP-013","RAP-QL-804","partnershipProfitShare","RAP-CP-013:RAP-QL-804:rap-003:human-review:RAP-QL-804:0:RAP-CP-013:0","rap-003:human-review:RAP-QL-804:0:RAP-CP-013:0","fnv1a-f86659fc","Two partners, Aman and Bhavna, invest Rs. 40000 and Rs. 60000 for 12 months and 12 months respectively. Total profit is Rs. 15000. Find the profit earned by Bhavna.","RAP-CP-013:RAP-QL-804:rap-003:same-ql-diversity:RAP-QL-804:7:RAP-CP-013:0","rap-003:same-ql-diversity:RAP-QL-804:7:RAP-CP-013:0","fnv1a-0812d63e","Two partners, Ravi and Sunita, invest Rs. 240000 and Rs. 360000 for 10 months and 10 months respectively. Total profit is Rs. 200000. Find the profit earned by Ravi.","false"
"RAP-003","RAP-CP-013","RAP-QL-805","partnershipJoiningPartnerProfit","RAP-CP-013:RAP-QL-805:rap-003:human-review:RAP-QL-805:0:RAP-CP-013:0","rap-003:human-review:RAP-QL-805:0:RAP-CP-013:0","fnv1a-d4f0581b","Ravi keeps Rs. 60000 invested for 12 months. Sunita joins later with Rs. 90000 and keeps it invested for 6 months. If the profit is Rs. 28000, find Ravi's share.","RAP-CP-013:RAP-QL-805:rap-003:same-ql-diversity:RAP-QL-805:7:RAP-CP-013:0","rap-003:same-ql-diversity:RAP-QL-805:7:RAP-CP-013:0","fnv1a-86c5adb9","Ravi keeps Rs. 480000 invested for 12 months. Sunita joins later with Rs. 720000 and keeps it invested for 6 months. If the profit is Rs. 224000, find Sunita's share.","false"
"RAP-003","RAP-CP-013","RAP-QL-806","partnershipLeavingPartnerProfit","RAP-CP-013:RAP-QL-806:rap-003:human-review:RAP-QL-806:0:RAP-CP-013:0","rap-003:human-review:RAP-QL-806:0:RAP-CP-013:0","fnv1a-0172d8a6","Aman invests Rs. 50000 for 12 months, while Bhavna invests Rs. 70000 but leaves after 8 months. Total profit is Rs. 29000. Find Bhavna's share.","RAP-CP-013:RAP-QL-806:rap-003:same-ql-diversity:RAP-QL-806:7:RAP-CP-013:0","rap-003:same-ql-diversity:RAP-QL-806:7:RAP-CP-013:0","fnv1a-c34d9dcf","Aman invests Rs. 400000 for 12 months, while Bhavna invests Rs. 560000 but leaves after 8 months. Total profit is Rs. 232000. Find Bhavna's share.","false"
"RAP-003","RAP-CP-013","RAP-QL-807","partnershipMidPeriodChangeBoth","RAP-CP-013:RAP-QL-807:rap-003:human-review:RAP-QL-807:0:RAP-CP-013:0","rap-003:human-review:RAP-QL-807:0:RAP-CP-013:0","fnv1a-cb43da8a","Ravi invests Rs. 30000 for 6 months and Rs. 50000 for the next 6 months. Sunita invests Rs. 60000 for 6 months and Rs. 40000 for the next 6 months. If profit is Rs. 27000, find Sunita's share.","RAP-CP-013:RAP-QL-807:rap-003:same-ql-diversity:RAP-QL-807:7:RAP-CP-013:0","rap-003:same-ql-diversity:RAP-QL-807:7:RAP-CP-013:0","fnv1a-87df827b","Ravi invests Rs. 240000 for 6 months and Rs. 400000 for the next 6 months. Sunita invests Rs. 480000 for 6 months and Rs. 320000 for the next 6 months. If profit is Rs. 216000, find Sunita's share.","false"
"RAP-003","RAP-CP-013","RAP-QL-808","partnershipSalaryThenProfitShare","RAP-CP-013:RAP-QL-808:rap-003:human-review:RAP-QL-808:0:RAP-CP-013:0","rap-003:human-review:RAP-QL-808:0:RAP-CP-013:0","fnv1a-4c0c84ac","Aman gets a salary of Rs. 5000 for managing the business. Aman invests Rs. 40000 for 10 months and Bhavna invests Rs. 60000 for 10 months. From the total profit of Rs. 41000, find Aman's final share.","RAP-CP-013:RAP-QL-808:rap-003:same-ql-diversity:RAP-QL-808:7:RAP-CP-013:0","rap-003:same-ql-diversity:RAP-QL-808:7:RAP-CP-013:0","fnv1a-6d13fa56","Aman gets a salary of Rs. 40000 for managing the business. Aman invests Rs. 320000 for 10 months and Bhavna invests Rs. 480000 for 10 months. From the total profit of Rs. 328000, find Aman's final share.","false"
"RAP-003","RAP-CP-013","RAP-QL-809","partnershipProfitFromKnownShare","RAP-CP-013:RAP-QL-809:rap-003:human-review:RAP-QL-809:0:RAP-CP-013:0","rap-003:human-review:RAP-QL-809:0:RAP-CP-013:0","fnv1a-b7b945a6","Aman invests Rs. 40000 for 12 months and Bhavna invests Rs. 60000 for 8 months. If Aman's profit share is Rs. 15000, find the total profit.","RAP-CP-013:RAP-QL-809:rap-003:same-ql-diversity:RAP-QL-809:7:RAP-CP-013:0","rap-003:same-ql-diversity:RAP-QL-809:7:RAP-CP-013:0","fnv1a-f309da5e","Aman invests Rs. 320000 for 12 months and Bhavna invests Rs. 480000 for 8 months. If Aman's profit share is Rs. 120000, find the total profit.","false"
"RAP-003","RAP-CP-013","RAP-QL-810","partnershipCapitalRatioTimeRatio","RAP-CP-013:RAP-QL-810:rap-003:human-review:RAP-QL-810:0:RAP-CP-013:0","rap-003:human-review:RAP-QL-810:0:RAP-CP-013:0","fnv1a-00d579fa","The capitals of Aman and Bhavna are in the ratio 3:4, and their investment times are in the ratio 5:3. Find their profit-sharing ratio.","RAP-CP-013:RAP-QL-810:rap-003:same-ql-diversity:RAP-QL-810:7:RAP-CP-013:0","rap-003:same-ql-diversity:RAP-QL-810:7:RAP-CP-013:0","fnv1a-e8f2e376","The capitals of Aman and Bhavna are in the ratio 10:11, and their investment times are in the ratio 12:10. Find their profit-sharing ratio.","false"
"RAP-003","RAP-CP-013","RAP-QL-811","partnershipLossShare","RAP-CP-013:RAP-QL-811:rap-003:human-review:RAP-QL-811:0:RAP-CP-013:0","rap-003:human-review:RAP-QL-811:0:RAP-CP-013:0","fnv1a-089c758b","Aman invests Rs. 30000 for 12 months and Bhavna invests Rs. 45000 for 8 months. If the business has a loss of Rs. 18000, find the loss borne by Bhavna.","RAP-CP-013:RAP-QL-811:rap-003:same-ql-diversity:RAP-QL-811:7:RAP-CP-013:0","rap-003:same-ql-diversity:RAP-QL-811:7:RAP-CP-013:0","fnv1a-bd6a7d6e","Aman invests Rs. 240000 for 12 months and Bhavna invests Rs. 360000 for 8 months. If the business has a loss of Rs. 144000, find the loss borne by Bhavna.","false"
