packageId,examProfile,cpId,qlId,seed,difficulty,solveMode,stem,optionA,optionB,optionC,optionD,optionE,correctOption,answer,explanation,explanationWordCount,validationValid,mathematicalStatus,editorialStatus,reviewer,notes
PRB-001,SSC_CGL_CHSL,PRB-CP-001,PRB-QL-001,PRB-001:exam-review-v3:PRB-CP-001:0:PRB-QL-001:0,Easy,findDirectProbability,"A batch contains 15 bulbs, of which 6 are defective. One bulb is selected at random. What is the probability that it is defective?",\(\frac{1}{3}\),\(\frac{1}{5}\),\(\frac{3}{5}\),\(\frac{2}{5}\),,D,\(\frac{2}{5}\),"Method — For one random selection, use \(P\!\left(required event\right)\) = favourable cases \(\div\) total equally likely cases. Step 1 — The batch has 15 bulbs, of which 6 are defective. Step 2 — The probability is \(\frac{6}{15}\) = \(\frac{2}{5}\). Answer — The required probability is \(\frac{2}{5}\).",46,true,AUTOMATED_PASS,APPROVED_EDITORIAL_ENGLISH,Gurbaj Singh,English mock approval recorded 2026-08-08; public publication remains disabled.
PRB-001,SSC_CGL_CHSL,PRB-CP-001,PRB-QL-002,PRB-001:exam-review-v3:PRB-CP-001:1:PRB-QL-002:0,Easy,findFavourableOutcomeCount,"A company has 32 employees. If one employee is selected at random, the probability that the employee is a woman is \(\frac{1}{2}\). How many women work in the company?",15,18,16,17,,C,16,Method — Use \(P\!\left(E\right)\) = favourable cases \(\div\) total cases and rearrange the relation to find the missing count. Step 1 — Female employees make up \(\frac{1}{2}\) of all 32 employees. Step 2 — Required number = 32 \(\times\) \(\frac{1}{2}\) = 16. Answer — The required number is 16.,49,true,AUTOMATED_PASS,APPROVED_EDITORIAL_ENGLISH,Gurbaj Singh,English mock approval recorded 2026-08-08; public publication remains disabled.
PRB-001,SSC_CGL_CHSL,PRB-CP-001,PRB-QL-003,PRB-001:exam-review-v3:PRB-CP-001:2:PRB-QL-003:0,Easy,findTotalOutcomeCount,"A bag contains 18 red balls. If a ball drawn at random is red with probability \(\frac{1}{2}\), how many balls are in the bag?",37,38,35,36,,D,36,Method — Use \(P\!\left(E\right)\) = favourable cases \(\div\) total cases and rearrange the relation to find the missing count. Step 1 — 18 red balls represent \(\frac{1}{2}\) of the full group. Step 2 — Total balls = 18 \(\div\) \(\frac{1}{2}\) = 36. Answer — The required number is 36.,49,true,AUTOMATED_PASS,APPROVED_EDITORIAL_ENGLISH,Gurbaj Singh,English mock approval recorded 2026-08-08; public publication remains disabled.
PRB-001,SSC_CGL_CHSL,PRB-CP-001,PRB-QL-004,PRB-001:exam-review-v3:PRB-CP-001:3:PRB-QL-004:0,Easy,identifyImpossibleCertainOrPossibleEvent,An integer is selected at random from 1 to 8. What is the probability that it is an integer not exceeding 8?,1,0,\(\frac{7}{8}\),\(\frac{1}{2}\),,A,1,"Method — For one random selection, use \(P\!\left(required event\right)\) = favourable cases \(\div\) total equally likely cases. Step 1 — Every integer from 1 to 8 satisfies the condition. Step 2 — The probability is \(\frac{8}{8}\) = 1. Answer — The required probability is 1.",45,true,AUTOMATED_PASS,APPROVED_EDITORIAL_ENGLISH,Gurbaj Singh,English mock approval recorded 2026-08-08; public publication remains disabled.
PRB-001,SSC_CGL_CHSL,PRB-CP-001,PRB-QL-005,PRB-001:exam-review-v3:PRB-CP-001:4:PRB-QL-005:0,Easy,findProbabilityFromSimpleFrequencyTable,"A box contains 5 red, 7 blue and 5 green pens. One pen is selected at random. What is the probability that it is blue?",\(\frac{10}{17}\),\(\frac{8}{17}\),\(\frac{7}{17}\),\(\frac{6}{17}\),,C,\(\frac{7}{17}\),"Method — For one random selection, use \(P\!\left(required event\right)\) = favourable cases \(\div\) total equally likely cases. Step 1 — The box contains 17 pens altogether: 5 red, 7 blue and 5 green. Step 2 — 7 of the 17 pens are blue. Step 3 — The required probability is \(\frac{7}{17}\). Answer — The required probability is \(\frac{7}{17}\).",58,true,AUTOMATED_PASS,APPROVED_EDITORIAL_ENGLISH,Gurbaj Singh,English mock approval recorded 2026-08-08; public publication remains disabled.
PRB-001,SSC_CGL_CHSL,PRB-CP-001,PRB-QL-006,PRB-001:exam-review-v3:PRB-CP-001:5:PRB-QL-006:0,Easy,findMissingEventCountFromProbability,A box contains 40 lottery tickets. The probability of drawing a prize-winning ticket is \(\frac{3}{5}\). How many prize-winning tickets are in the box?,25,26,24,23,,C,24,Method — Use \(P\!\left(E\right)\) = favourable cases \(\div\) total cases and rearrange the relation to find the missing count. Step 1 — Prize-winning tickets make up \(\frac{3}{5}\) of all 40 tickets. Step 2 — Required number = 40 \(\times\) \(\frac{3}{5}\) = 24. Answer — The required number is 24.,49,true,AUTOMATED_PASS,APPROVED_EDITORIAL_ENGLISH,Gurbaj Singh,English mock approval recorded 2026-08-08; public publication remains disabled.
PRB-001,SSC_CGL_CHSL,PRB-CP-001,PRB-QL-007,PRB-001:exam-review-v3:PRB-CP-001:6:PRB-QL-007:0,Easy,findDirectProbability,"A bag contains 24 balls, of which 14 are red. One ball is drawn at random. What is the probability that it is red?",\(\frac{7}{12}\),\(\frac{5}{12}\),\(\frac{2}{3}\),\(\frac{1}{2}\),,A,\(\frac{7}{12}\),"Method — For one random selection, use \(P\!\left(required event\right)\) = favourable cases \(\div\) total equally likely cases. Step 1 — The bag has 24 balls, of which 14 are red. Step 2 — The probability is \(\frac{14}{24}\) = \(\frac{7}{12}\). Answer — The required probability is \(\frac{7}{12}\).",46,true,AUTOMATED_PASS,APPROVED_EDITORIAL_ENGLISH,Gurbaj Singh,English mock approval recorded 2026-08-08; public publication remains disabled.
PRB-001,SSC_CGL_CHSL,PRB-CP-001,PRB-QL-008,PRB-001:exam-review-v3:PRB-CP-001:7:PRB-QL-008:0,Easy,findFavourableOutcomeCount,"A batch contains 18 bulbs. If one bulb is selected at random, the probability that it is defective is \(\frac{1}{2}\). How many bulbs are defective?",9,11,10,8,,A,9,Method — Use \(P\!\left(E\right)\) = favourable cases \(\div\) total cases and rearrange the relation to find the missing count. Step 1 — Defective bulbs make up \(\frac{1}{2}\) of all 18 bulbs. Step 2 — Required number = 18 \(\times\) \(\frac{1}{2}\) = 9. Answer — The required number is 9.,49,true,AUTOMATED_PASS,APPROVED_EDITORIAL_ENGLISH,Gurbaj Singh,English mock approval recorded 2026-08-08; public publication remains disabled.
PRB-001,SSC_CGL_CHSL,PRB-CP-001,PRB-QL-009,PRB-001:exam-review-v3:PRB-CP-001:8:PRB-QL-009:0,Easy,findTotalOutcomeCount,"A bag contains 16 red balls. If a ball drawn at random is red with probability \(\frac{8}{9}\), how many balls are in the bag?",17,20,19,18,,D,18,Method — Use \(P\!\left(E\right)\) = favourable cases \(\div\) total cases and rearrange the relation to find the missing count. Step 1 — 16 red balls represent \(\frac{8}{9}\) of the full group. Step 2 — Total balls = 16 \(\div\) \(\frac{8}{9}\) = 18. Answer — The required number is 18.,49,true,AUTOMATED_PASS,APPROVED_EDITORIAL_ENGLISH,Gurbaj Singh,English mock approval recorded 2026-08-08; public publication remains disabled.
PRB-001,SSC_CGL_CHSL,PRB-CP-001,PRB-QL-010,PRB-001:exam-review-v3:PRB-CP-001:9:PRB-QL-010:0,Easy,identifyImpossibleCertainOrPossibleEvent,An integer is selected at random from 1 to 21. What is the probability that it is an integer not exceeding 21?,1,0,\(\frac{20}{21}\),\(\frac{1}{2}\),,A,1,"Method — For one random selection, use \(P\!\left(required event\right)\) = favourable cases \(\div\) total equally likely cases. Step 1 — Every integer from 1 to 21 satisfies the condition. Step 2 — The probability is \(\frac{21}{21}\) = 1. Answer — The required probability is 1.",45,true,AUTOMATED_PASS,APPROVED_EDITORIAL_ENGLISH,Gurbaj Singh,English mock approval recorded 2026-08-08; public publication remains disabled.
